"id","no","unit kerja","nama unit","kebijakan","program","kegiatan","nama kegiatan","cost type","name","kode"
"mak_12_42_30","30","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.06","Mata kuliah yg ditawarkan dan jumlah kelas","5","Overhead","650.1.1.01.06.5.12.42"
"mak_12_42_31","31","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.07","Jadual kuliah","1","Bahan habis pakai","650.1.1.01.07.1.12.42"
"mak_12_42_32","32","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.07","Jadual kuliah","2","Honor/Upah","650.1.1.01.07.2.12.42"
"mak_12_42_33","33","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.07","Jadual kuliah","3","Sewa","650.1.1.01.07.3.12.42"
"mak_12_42_34","34","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.07","Jadual kuliah","4","Outsourcing","650.1.1.01.07.4.12.42"
"mak_12_42_35","35","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.07","Jadual kuliah","5","Overhead","650.1.1.01.07.5.12.42"
"mak_12_42_36","36","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.08","Pengisian KRS oleh mhs","1","Bahan habis pakai","650.1.1.01.08.1.12.42"
"mak_12_42_37","37","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.08","Pengisian KRS oleh mhs","2","Honor/Upah","650.1.1.01.08.2.12.42"
"mak_12_42_38","38","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.08","Pengisian KRS oleh mhs","3","Sewa","650.1.1.01.08.3.12.42"
"mak_12_42_39","39","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.08","Pengisian KRS oleh mhs","4","Outsourcing","650.1.1.01.08.4.12.42"
"mak_12_42_40","40","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.08","Pengisian KRS oleh mhs","5","Overhead","650.1.1.01.08.5.12.42"
"mak_12_42_41","41","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.09","Daftar peserta kelas & presensi/mhs/kuliah","1","Bahan habis pakai","650.1.1.01.09.1.12.42"
"mak_12_42_42","42","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.09","Daftar peserta kelas & presensi/mhs/kuliah","2","Honor/Upah","650.1.1.01.09.2.12.42"
"mak_12_42_43","43","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.09","Daftar peserta kelas & presensi/mhs/kuliah","3","Sewa","650.1.1.01.09.3.12.42"
"mak_12_42_44","44","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.09","Daftar peserta kelas & presensi/mhs/kuliah","4","Outsourcing","650.1.1.01.09.4.12.42"
"mak_12_42_45","45","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.09","Daftar peserta kelas & presensi/mhs/kuliah","5","Overhead","650.1.1.01.09.5.12.42"
"mak_12_42_46","46","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.10","Daftar hadir dosen/mata kuliah","1","Bahan habis pakai","650.1.1.01.10.1.12.42"
"mak_12_42_47","47","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.10","Daftar hadir dosen/mata kuliah","2","Honor/Upah","650.1.1.01.10.2.12.42"
"mak_12_42_48","48","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.10","Daftar hadir dosen/mata kuliah","3","Sewa","650.1.1.01.10.3.12.42"
"mak_12_42_49","49","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.10","Daftar hadir dosen/mata kuliah","4","Outsourcing","650.1.1.01.10.4.12.42"
"mak_12_42_50","50","12.42","Prodi Teknik Mesin (D3)","1","1.01","1.01.10","Daftar hadir dosen/mata kuliah","5","Overhead","650.1.1.01.10.5.12.42"
"mak_12_42_51","51","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.01","Lembar penyetaraan","1","Bahan habis pakai","650.1.1.02.01.1.12.42"
"mak_12_42_52","52","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.01","Lembar penyetaraan","2","Honor/Upah","650.1.1.02.01.2.12.42"
"mak_12_42_53","53","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.01","Lembar penyetaraan","3","Sewa","650.1.1.02.01.3.12.42"
"mak_12_42_54","54","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.01","Lembar penyetaraan","4","Outsourcing","650.1.1.02.01.4.12.42"
"mak_12_42_55","55","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.01","Lembar penyetaraan","5","Overhead","650.1.1.02.01.5.12.42"
"mak_12_42_56","56","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.02","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu","1","Bahan habis pakai","650.1.1.02.02.1.12.42"
"mak_12_42_57","57","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.02","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu","2","Honor/Upah","650.1.1.02.02.2.12.42"
"mak_12_42_58","58","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.02","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu","3","Sewa","650.1.1.02.02.3.12.42"
"mak_12_42_59","59","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.02","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu","4","Outsourcing","650.1.1.02.02.4.12.42"
"mak_12_42_60","60","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.02","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu","5","Overhead","650.1.1.02.02.5.12.42"
"mak_12_42_61","61","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.03","Ketersediaan rancangan praktikum","1","Bahan habis pakai","650.1.1.02.03.1.12.42"
"mak_12_42_62","62","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.03","Ketersediaan rancangan praktikum","2","Honor/Upah","650.1.1.02.03.2.12.42"
"mak_12_42_63","63","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.03","Ketersediaan rancangan praktikum","3","Sewa","650.1.1.02.03.3.12.42"
"mak_12_42_64","64","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.03","Ketersediaan rancangan praktikum","4","Outsourcing","650.1.1.02.03.4.12.42"
"mak_12_42_65","65","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.03","Ketersediaan rancangan praktikum","5","Overhead","650.1.1.02.03.5.12.42"
"mak_12_42_66","66","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.04","Jadwal praktikum","1","Bahan habis pakai","650.1.1.02.04.1.12.42"
"mak_12_42_67","67","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.04","Jadwal praktikum","2","Honor/Upah","650.1.1.02.04.2.12.42"
"mak_12_42_68","68","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.04","Jadwal praktikum","3","Sewa","650.1.1.02.04.3.12.42"
"mak_12_42_69","69","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.04","Jadwal praktikum","4","Outsourcing","650.1.1.02.04.4.12.42"
"mak_12_42_70","70","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.04","Jadwal praktikum","5","Overhead","650.1.1.02.04.5.12.42"
"mak_12_42_71","71","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.05","Modul / alat praktikum","1","Bahan habis pakai","650.1.1.02.05.1.12.42"
"mak_12_42_72","72","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.05","Modul / alat praktikum","2","Honor/Upah","650.1.1.02.05.2.12.42"
"mak_12_42_73","73","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.05","Modul / alat praktikum","3","Sewa","650.1.1.02.05.3.12.42"
"mak_12_42_74","74","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.05","Modul / alat praktikum","4","Outsourcing","650.1.1.02.05.4.12.42"
"mak_12_42_75","75","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.05","Modul / alat praktikum","5","Overhead","650.1.1.02.05.5.12.42"
"mak_12_42_76","76","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.06","Bahan habis pakai","1","Bahan habis pakai","650.1.1.02.06.1.12.42"
"mak_12_42_77","77","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.06","Bahan habis pakai","2","Honor/Upah","650.1.1.02.06.2.12.42"
"mak_12_42_78","78","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.06","Bahan habis pakai","3","Sewa","650.1.1.02.06.3.12.42"
"mak_12_42_79","79","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.06","Bahan habis pakai","4","Outsourcing","650.1.1.02.06.4.12.42"
"mak_12_42_80","80","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.06","Bahan habis pakai","5","Overhead","650.1.1.02.06.5.12.42"
"mak_12_42_81","81","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.07","Dana praktikum","1","Bahan habis pakai","650.1.1.02.07.1.12.42"
"mak_12_42_82","82","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.07","Dana praktikum","2","Honor/Upah","650.1.1.02.07.2.12.42"
"mak_12_42_83","83","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.07","Dana praktikum","3","Sewa","650.1.1.02.07.3.12.42"
"mak_12_42_84","84","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.07","Dana praktikum","4","Outsourcing","650.1.1.02.07.4.12.42"
"mak_12_42_85","85","12.42","Prodi Teknik Mesin (D3)","1","1.02","1.02.07","Dana praktikum","5","Overhead","650.1.1.02.07.5.12.42"
"mak_12_42_86","86","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.01","Ketersediaan rancangan praktikum","1","Bahan habis pakai","650.1.1.03.01.1.12.42"
"mak_12_42_87","87","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.01","Ketersediaan rancangan praktikum","2","Honor/Upah","650.1.1.03.01.2.12.42"
"mak_12_42_88","88","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.01","Ketersediaan rancangan praktikum","3","Sewa","650.1.1.03.01.3.12.42"
"mak_12_42_89","89","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.01","Ketersediaan rancangan praktikum","4","Outsourcing","650.1.1.03.01.4.12.42"
"mak_12_42_90","90","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.01","Ketersediaan rancangan praktikum","5","Overhead","650.1.1.03.01.5.12.42"
"mak_12_42_91","91","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.02","Jadual praktikum","1","Bahan habis pakai","650.1.1.03.02.1.12.42"
"mak_12_42_92","92","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.02","Jadual praktikum","2","Honor/Upah","650.1.1.03.02.2.12.42"
"mak_12_42_93","93","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.02","Jadual praktikum","3","Sewa","650.1.1.03.02.3.12.42"
"mak_12_42_94","94","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.02","Jadual praktikum","4","Outsourcing","650.1.1.03.02.4.12.42"
"mak_12_42_95","95","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.02","Jadual praktikum","5","Overhead","650.1.1.03.02.5.12.42"
"mak_12_42_96","96","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.03","Modul/alat praktikum","1","Bahan habis pakai","650.1.1.03.03.1.12.42"
"mak_12_42_97","97","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.03","Modul/alat praktikum","2","Honor/Upah","650.1.1.03.03.2.12.42"
"mak_12_42_98","98","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.03","Modul/alat praktikum","3","Sewa","650.1.1.03.03.3.12.42"
"mak_12_42_99","99","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.03","Modul/alat praktikum","4","Outsourcing","650.1.1.03.03.4.12.42"
"mak_12_42_100","100","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.03","Modul/alat praktikum","5","Overhead","650.1.1.03.03.5.12.42"
"mak_12_42_101","101","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.04","Bahan habis pakai","1","Bahan habis pakai","650.1.1.03.04.1.12.42"
"mak_12_42_102","102","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.04","Bahan habis pakai","2","Honor/Upah","650.1.1.03.04.2.12.42"
"mak_12_42_103","103","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.04","Bahan habis pakai","3","Sewa","650.1.1.03.04.3.12.42"
"mak_12_42_104","104","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.04","Bahan habis pakai","4","Outsourcing","650.1.1.03.04.4.12.42"
"mak_12_42_105","105","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.04","Bahan habis pakai","5","Overhead","650.1.1.03.04.5.12.42"
"mak_12_42_106","106","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.05","Dana praktikum","1","Bahan habis pakai","650.1.1.03.05.1.12.42"
"mak_12_42_107","107","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.05","Dana praktikum","2","Honor/Upah","650.1.1.03.05.2.12.42"
"mak_12_42_108","108","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.05","Dana praktikum","3","Sewa","650.1.1.03.05.3.12.42"
"mak_12_42_109","109","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.05","Dana praktikum","4","Outsourcing","650.1.1.03.05.4.12.42"
"mak_12_42_110","110","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.05","Dana praktikum","5","Overhead","650.1.1.03.05.5.12.42"
"mak_12_42_111","111","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.06","Daftar peserta praktikum","1","Bahan habis pakai","650.1.1.03.06.1.12.42"
"mak_12_42_112","112","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.06","Daftar peserta praktikum","2","Honor/Upah","650.1.1.03.06.2.12.42"
"mak_12_42_113","113","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.06","Daftar peserta praktikum","3","Sewa","650.1.1.03.06.3.12.42"
"mak_12_42_114","114","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.06","Daftar peserta praktikum","4","Outsourcing","650.1.1.03.06.4.12.42"
"mak_12_42_115","115","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.06","Daftar peserta praktikum","5","Overhead","650.1.1.03.06.5.12.42"
"mak_12_42_116","116","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.07","Asisten/instruktur","1","Bahan habis pakai","650.1.1.03.07.1.12.42"
"mak_12_42_117","117","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.07","Asisten/instruktur","2","Honor/Upah","650.1.1.03.07.2.12.42"
"mak_12_42_118","118","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.07","Asisten/instruktur","3","Sewa","650.1.1.03.07.3.12.42"
"mak_12_42_119","119","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.07","Asisten/instruktur","4","Outsourcing","650.1.1.03.07.4.12.42"
"mak_12_42_120","120","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.07","Asisten/instruktur","5","Overhead","650.1.1.03.07.5.12.42"
"mak_12_42_121","121","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.08","Penugasan asisten/instruktur","1","Bahan habis pakai","650.1.1.03.08.1.12.42"
"mak_12_42_122","122","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.08","Penugasan asisten/instruktur","2","Honor/Upah","650.1.1.03.08.2.12.42"
"mak_12_42_123","123","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.08","Penugasan asisten/instruktur","3","Sewa","650.1.1.03.08.3.12.42"
"mak_12_42_124","124","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.08","Penugasan asisten/instruktur","4","Outsourcing","650.1.1.03.08.4.12.42"
"mak_12_42_125","125","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.08","Penugasan asisten/instruktur","5","Overhead","650.1.1.03.08.5.12.42"
"mak_12_42_126","126","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.09","Nilai akhir praktikum","1","Bahan habis pakai","650.1.1.03.09.1.12.42"
"mak_12_42_127","127","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.09","Nilai akhir praktikum","2","Honor/Upah","650.1.1.03.09.2.12.42"
"mak_12_42_128","128","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.09","Nilai akhir praktikum","3","Sewa","650.1.1.03.09.3.12.42"
"mak_12_42_129","129","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.09","Nilai akhir praktikum","4","Outsourcing","650.1.1.03.09.4.12.42"
"mak_12_42_130","130","12.42","Prodi Teknik Mesin (D3)","1","1.03","1.03.09","Nilai akhir praktikum","5","Overhead","650.1.1.03.09.5.12.42"
"mak_12_42_131","131","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.01","Jumlah kehadiran dosen","1","Bahan habis pakai","650.1.1.04.01.1.12.42"
"mak_12_42_132","132","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.01","Jumlah kehadiran dosen","2","Honor/Upah","650.1.1.04.01.2.12.42"
"mak_12_42_133","133","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.01","Jumlah kehadiran dosen","3","Sewa","650.1.1.04.01.3.12.42"
"mak_12_42_134","134","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.01","Jumlah kehadiran dosen","4","Outsourcing","650.1.1.04.01.4.12.42"
"mak_12_42_135","135","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.01","Jumlah kehadiran dosen","5","Overhead","650.1.1.04.01.5.12.42"
"mak_12_42_136","136","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.02","Presensi mhs","1","Bahan habis pakai","650.1.1.04.02.1.12.42"
"mak_12_42_137","137","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.02","Presensi mhs","2","Honor/Upah","650.1.1.04.02.2.12.42"
"mak_12_42_138","138","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.02","Presensi mhs","3","Sewa","650.1.1.04.02.3.12.42"
"mak_12_42_139","139","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.02","Presensi mhs","4","Outsourcing","650.1.1.04.02.4.12.42"
"mak_12_42_140","140","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.02","Presensi mhs","5","Overhead","650.1.1.04.02.5.12.42"
"mak_12_42_141","141","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.03","Mahasiswa pindahan/melanjutkan","1","Bahan habis pakai","650.1.1.04.03.1.12.42"
"mak_12_42_142","142","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.03","Mahasiswa pindahan/melanjutkan","2","Honor/Upah","650.1.1.04.03.2.12.42"
"mak_12_42_143","143","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.03","Mahasiswa pindahan/melanjutkan","3","Sewa","650.1.1.04.03.3.12.42"
"mak_12_42_144","144","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.03","Mahasiswa pindahan/melanjutkan","4","Outsourcing","650.1.1.04.03.4.12.42"
"mak_12_42_145","145","12.42","Prodi Teknik Mesin (D3)","1","1.04","1.04.03","Mahasiswa pindahan/melanjutkan","5","Overhead","650.1.1.04.03.5.12.42"
"mak_12_42_146","146","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.01","Jumlah kehadiran asisten/instruktur","1","Bahan habis pakai","650.1.1.05.01.1.12.42"
"mak_12_42_147","147","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.01","Jumlah kehadiran asisten/instruktur","2","Honor/Upah","650.1.1.05.01.2.12.42"
"mak_12_42_148","148","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.01","Jumlah kehadiran asisten/instruktur","3","Sewa","650.1.1.05.01.3.12.42"
"mak_12_42_149","149","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.01","Jumlah kehadiran asisten/instruktur","4","Outsourcing","650.1.1.05.01.4.12.42"
"mak_12_42_150","150","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.01","Jumlah kehadiran asisten/instruktur","5","Overhead","650.1.1.05.01.5.12.42"
"mak_12_42_151","151","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.02","Presensi mhs peserta praktikum","1","Bahan habis pakai","650.1.1.05.02.1.12.42"
"mak_12_42_152","152","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.02","Presensi mhs peserta praktikum","2","Honor/Upah","650.1.1.05.02.2.12.42"
"mak_12_42_153","153","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.02","Presensi mhs peserta praktikum","3","Sewa","650.1.1.05.02.3.12.42"
"mak_12_42_154","154","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.02","Presensi mhs peserta praktikum","4","Outsourcing","650.1.1.05.02.4.12.42"
"mak_12_42_155","155","12.42","Prodi Teknik Mesin (D3)","1","1.05","1.05.02","Presensi mhs peserta praktikum","5","Overhead","650.1.1.05.02.5.12.42"
"mak_12_42_156","156","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.01","Tersediaan sarana & prasarana ujian","1","Bahan habis pakai","650.1.1.06.01.1.12.42"
"mak_12_42_157","157","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.01","Tersediaan sarana & prasarana ujian","2","Honor/Upah","650.1.1.06.01.2.12.42"
"mak_12_42_158","158","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.01","Tersediaan sarana & prasarana ujian","3","Sewa","650.1.1.06.01.3.12.42"
"mak_12_42_159","159","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.01","Tersediaan sarana & prasarana ujian","4","Outsourcing","650.1.1.06.01.4.12.42"
"mak_12_42_160","160","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.01","Tersediaan sarana & prasarana ujian","5","Overhead","650.1.1.06.01.5.12.42"
"mak_12_42_161","161","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.02","Jadual ujian","1","Bahan habis pakai","650.1.1.06.02.1.12.42"
"mak_12_42_162","162","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.02","Jadual ujian","2","Honor/Upah","650.1.1.06.02.2.12.42"
"mak_12_42_163","163","12.42","Prodi Teknik Mesin (D3)","1","1.06","1.06.02","Jadual ujian","3","Sewa","650.1.1.06.02.3.12.42"
