id,,unit,nama unit,kebijakan,program,kegiatan,nama kegiatan,cost type,name,kode
mak_11_12_21,21,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,1,Bahan habis pakai,650.1.1.01.05.1.11.12
mak_11_12_22,22,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,2,Honor/Upah,650.1.1.01.05.2.11.12
mak_11_12_23,23,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,3,Sewa,650.1.1.01.05.3.11.12
mak_11_12_24,24,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,4,Outsourcing,650.1.1.01.05.4.11.12
mak_11_12_25,25,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,5,Overhead,650.1.1.01.05.5.11.12
mak_11_12_26,26,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,1,Bahan habis pakai,650.1.1.01.06.1.11.12
mak_11_12_27,27,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,2,Honor/Upah,650.1.1.01.06.2.11.12
mak_11_12_28,28,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,3,Sewa,650.1.1.01.06.3.11.12
mak_11_12_29,29,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,4,Outsourcing,650.1.1.01.06.4.11.12
mak_11_12_30,30,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,5,Overhead,650.1.1.01.06.5.11.12
mak_11_12_31,31,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.07,Jadual kuliah,1,Bahan habis pakai,650.1.1.01.07.1.11.12
mak_11_12_32,32,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.07,Jadual kuliah,2,Honor/Upah,650.1.1.01.07.2.11.12
mak_11_12_33,33,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.07,Jadual kuliah,3,Sewa,650.1.1.01.07.3.11.12
mak_11_12_34,34,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.07,Jadual kuliah,4,Outsourcing,650.1.1.01.07.4.11.12
mak_11_12_35,35,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.07,Jadual kuliah,5,Overhead,650.1.1.01.07.5.11.12
mak_11_12_36,36,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,1,Bahan habis pakai,650.1.1.01.08.1.11.12
mak_11_12_37,37,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,2,Honor/Upah,650.1.1.01.08.2.11.12
mak_11_12_38,38,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,3,Sewa,650.1.1.01.08.3.11.12
mak_11_12_39,39,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,4,Outsourcing,650.1.1.01.08.4.11.12
mak_11_12_40,40,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,5,Overhead,650.1.1.01.08.5.11.12
mak_11_12_41,41,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,1,Bahan habis pakai,650.1.1.01.09.1.11.12
mak_11_12_42,42,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,2,Honor/Upah,650.1.1.01.09.2.11.12
mak_11_12_43,43,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,3,Sewa,650.1.1.01.09.3.11.12
mak_11_12_44,44,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,4,Outsourcing,650.1.1.01.09.4.11.12
mak_11_12_45,45,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,5,Overhead,650.1.1.01.09.5.11.12
mak_11_12_46,46,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,1,Bahan habis pakai,650.1.1.01.10.1.11.12
mak_11_12_47,47,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,2,Honor/Upah,650.1.1.01.10.2.11.12
mak_11_12_48,48,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,3,Sewa,650.1.1.01.10.3.11.12
mak_11_12_49,49,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,4,Outsourcing,650.1.1.01.10.4.11.12
mak_11_12_50,50,11.12,Prodi Teknik Arsitektur (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,5,Overhead,650.1.1.01.10.5.11.12
mak_11_12_51,51,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.01,Lembar penyetaraan,1,Bahan habis pakai,650.1.1.02.01.1.11.12
mak_11_12_52,52,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.01,Lembar penyetaraan,2,Honor/Upah,650.1.1.02.01.2.11.12
mak_11_12_53,53,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.01,Lembar penyetaraan,3,Sewa,650.1.1.02.01.3.11.12
mak_11_12_54,54,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.01,Lembar penyetaraan,4,Outsourcing,650.1.1.02.01.4.11.12
mak_11_12_55,55,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.01,Lembar penyetaraan,5,Overhead,650.1.1.02.01.5.11.12
mak_11_12_56,56,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,1,Bahan habis pakai,650.1.1.02.02.1.11.12
mak_11_12_57,57,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,2,Honor/Upah,650.1.1.02.02.2.11.12
mak_11_12_58,58,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,3,Sewa,650.1.1.02.02.3.11.12
mak_11_12_59,59,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,4,Outsourcing,650.1.1.02.02.4.11.12
mak_11_12_60,60,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,5,Overhead,650.1.1.02.02.5.11.12
mak_11_12_61,61,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,1,Bahan habis pakai,650.1.1.02.03.1.11.12
mak_11_12_62,62,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,2,Honor/Upah,650.1.1.02.03.2.11.12
mak_11_12_63,63,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,3,Sewa,650.1.1.02.03.3.11.12
mak_11_12_64,64,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,4,Outsourcing,650.1.1.02.03.4.11.12
mak_11_12_65,65,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,5,Overhead,650.1.1.02.03.5.11.12
mak_11_12_66,66,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.04,Jadwal praktikum,1,Bahan habis pakai,650.1.1.02.04.1.11.12
mak_11_12_67,67,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.04,Jadwal praktikum,2,Honor/Upah,650.1.1.02.04.2.11.12
mak_11_12_68,68,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.04,Jadwal praktikum,3,Sewa,650.1.1.02.04.3.11.12
mak_11_12_69,69,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.04,Jadwal praktikum,4,Outsourcing,650.1.1.02.04.4.11.12
mak_11_12_70,70,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.04,Jadwal praktikum,5,Overhead,650.1.1.02.04.5.11.12
mak_11_12_71,71,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.05,Modul / alat praktikum,1,Bahan habis pakai,650.1.1.02.05.1.11.12
mak_11_12_72,72,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.05,Modul / alat praktikum,2,Honor/Upah,650.1.1.02.05.2.11.12
mak_11_12_73,73,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.05,Modul / alat praktikum,3,Sewa,650.1.1.02.05.3.11.12
mak_11_12_74,74,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.05,Modul / alat praktikum,4,Outsourcing,650.1.1.02.05.4.11.12
mak_11_12_75,75,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.05,Modul / alat praktikum,5,Overhead,650.1.1.02.05.5.11.12
mak_11_12_76,76,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.06,Bahan habis pakai,1,Bahan habis pakai,650.1.1.02.06.1.11.12
mak_11_12_77,77,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.06,Bahan habis pakai,2,Honor/Upah,650.1.1.02.06.2.11.12
mak_11_12_78,78,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.06,Bahan habis pakai,3,Sewa,650.1.1.02.06.3.11.12
mak_11_12_79,79,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.06,Bahan habis pakai,4,Outsourcing,650.1.1.02.06.4.11.12
mak_11_12_80,80,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.06,Bahan habis pakai,5,Overhead,650.1.1.02.06.5.11.12
mak_11_12_81,81,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.07,Dana praktikum,1,Bahan habis pakai,650.1.1.02.07.1.11.12
mak_11_12_82,82,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.07,Dana praktikum,2,Honor/Upah,650.1.1.02.07.2.11.12
mak_11_12_83,83,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.07,Dana praktikum,3,Sewa,650.1.1.02.07.3.11.12
mak_11_12_84,84,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.07,Dana praktikum,4,Outsourcing,650.1.1.02.07.4.11.12
mak_11_12_85,85,11.12,Prodi Teknik Arsitektur (S1),1,1.02,1.02.07,Dana praktikum,5,Overhead,650.1.1.02.07.5.11.12
mak_11_12_86,86,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,1,Bahan habis pakai,650.1.1.03.01.1.11.12
mak_11_12_87,87,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,2,Honor/Upah,650.1.1.03.01.2.11.12
mak_11_12_88,88,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,3,Sewa,650.1.1.03.01.3.11.12
mak_11_12_89,89,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,4,Outsourcing,650.1.1.03.01.4.11.12
mak_11_12_90,90,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,5,Overhead,650.1.1.03.01.5.11.12
mak_11_12_91,91,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.02,Jadual praktikum,1,Bahan habis pakai,650.1.1.03.02.1.11.12
mak_11_12_92,92,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.02,Jadual praktikum,2,Honor/Upah,650.1.1.03.02.2.11.12
mak_11_12_93,93,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.02,Jadual praktikum,3,Sewa,650.1.1.03.02.3.11.12
mak_11_12_94,94,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.02,Jadual praktikum,4,Outsourcing,650.1.1.03.02.4.11.12
mak_11_12_95,95,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.02,Jadual praktikum,5,Overhead,650.1.1.03.02.5.11.12
mak_11_12_96,96,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.03,Modul/alat praktikum,1,Bahan habis pakai,650.1.1.03.03.1.11.12
mak_11_12_97,97,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.03,Modul/alat praktikum,2,Honor/Upah,650.1.1.03.03.2.11.12
mak_11_12_98,98,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.03,Modul/alat praktikum,3,Sewa,650.1.1.03.03.3.11.12
mak_11_12_99,99,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.03,Modul/alat praktikum,4,Outsourcing,650.1.1.03.03.4.11.12
mak_11_12_100,100,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.03,Modul/alat praktikum,5,Overhead,650.1.1.03.03.5.11.12
mak_11_12_101,101,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.04,Bahan habis pakai,1,Bahan habis pakai,650.1.1.03.04.1.11.12
mak_11_12_102,102,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.04,Bahan habis pakai,2,Honor/Upah,650.1.1.03.04.2.11.12
mak_11_12_103,103,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.04,Bahan habis pakai,3,Sewa,650.1.1.03.04.3.11.12
mak_11_12_104,104,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.04,Bahan habis pakai,4,Outsourcing,650.1.1.03.04.4.11.12
mak_11_12_105,105,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.04,Bahan habis pakai,5,Overhead,650.1.1.03.04.5.11.12
mak_11_12_106,106,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.05,Dana praktikum,1,Bahan habis pakai,650.1.1.03.05.1.11.12
mak_11_12_107,107,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.05,Dana praktikum,2,Honor/Upah,650.1.1.03.05.2.11.12
mak_11_12_108,108,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.05,Dana praktikum,3,Sewa,650.1.1.03.05.3.11.12
mak_11_12_109,109,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.05,Dana praktikum,4,Outsourcing,650.1.1.03.05.4.11.12
mak_11_12_110,110,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.05,Dana praktikum,5,Overhead,650.1.1.03.05.5.11.12
mak_11_12_111,111,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.06,Daftar peserta praktikum,1,Bahan habis pakai,650.1.1.03.06.1.11.12
mak_11_12_112,112,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.06,Daftar peserta praktikum,2,Honor/Upah,650.1.1.03.06.2.11.12
mak_11_12_113,113,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.06,Daftar peserta praktikum,3,Sewa,650.1.1.03.06.3.11.12
mak_11_12_114,114,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.06,Daftar peserta praktikum,4,Outsourcing,650.1.1.03.06.4.11.12
mak_11_12_115,115,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.06,Daftar peserta praktikum,5,Overhead,650.1.1.03.06.5.11.12
mak_11_12_116,116,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.07,Asisten/instruktur,1,Bahan habis pakai,650.1.1.03.07.1.11.12
mak_11_12_117,117,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.07,Asisten/instruktur,2,Honor/Upah,650.1.1.03.07.2.11.12
mak_11_12_118,118,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.07,Asisten/instruktur,3,Sewa,650.1.1.03.07.3.11.12
mak_11_12_119,119,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.07,Asisten/instruktur,4,Outsourcing,650.1.1.03.07.4.11.12
mak_11_12_120,120,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.07,Asisten/instruktur,5,Overhead,650.1.1.03.07.5.11.12
mak_11_12_121,121,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,1,Bahan habis pakai,650.1.1.03.08.1.11.12
mak_11_12_122,122,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,2,Honor/Upah,650.1.1.03.08.2.11.12
mak_11_12_123,123,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,3,Sewa,650.1.1.03.08.3.11.12
mak_11_12_124,124,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,4,Outsourcing,650.1.1.03.08.4.11.12
mak_11_12_125,125,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,5,Overhead,650.1.1.03.08.5.11.12
mak_11_12_126,126,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.09,Nilai akhir praktikum,1,Bahan habis pakai,650.1.1.03.09.1.11.12
mak_11_12_127,127,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.09,Nilai akhir praktikum,2,Honor/Upah,650.1.1.03.09.2.11.12
mak_11_12_128,128,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.09,Nilai akhir praktikum,3,Sewa,650.1.1.03.09.3.11.12
mak_11_12_129,129,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.09,Nilai akhir praktikum,4,Outsourcing,650.1.1.03.09.4.11.12
mak_11_12_130,130,11.12,Prodi Teknik Arsitektur (S1),1,1.03,1.03.09,Nilai akhir praktikum,5,Overhead,650.1.1.03.09.5.11.12
mak_11_12_131,131,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,1,Bahan habis pakai,650.1.1.04.01.1.11.12
mak_11_12_132,132,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,2,Honor/Upah,650.1.1.04.01.2.11.12
mak_11_12_133,133,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,3,Sewa,650.1.1.04.01.3.11.12
mak_11_12_134,134,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,4,Outsourcing,650.1.1.04.01.4.11.12
mak_11_12_135,135,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,5,Overhead,650.1.1.04.01.5.11.12
mak_11_12_136,136,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.02,Presensi mhs,1,Bahan habis pakai,650.1.1.04.02.1.11.12
mak_11_12_137,137,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.02,Presensi mhs,2,Honor/Upah,650.1.1.04.02.2.11.12
mak_11_12_138,138,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.02,Presensi mhs,3,Sewa,650.1.1.04.02.3.11.12
mak_11_12_139,139,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.02,Presensi mhs,4,Outsourcing,650.1.1.04.02.4.11.12
mak_11_12_140,140,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.02,Presensi mhs,5,Overhead,650.1.1.04.02.5.11.12
mak_11_12_141,141,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,1,Bahan habis pakai,650.1.1.04.03.1.11.12
mak_11_12_142,142,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,2,Honor/Upah,650.1.1.04.03.2.11.12
mak_11_12_143,143,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,3,Sewa,650.1.1.04.03.3.11.12
mak_11_12_144,144,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,4,Outsourcing,650.1.1.04.03.4.11.12
mak_11_12_145,145,11.12,Prodi Teknik Arsitektur (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,5,Overhead,650.1.1.04.03.5.11.12
mak_11_12_146,146,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,1,Bahan habis pakai,650.1.1.05.01.1.11.12
mak_11_12_147,147,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,2,Honor/Upah,650.1.1.05.01.2.11.12
mak_11_12_148,148,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,3,Sewa,650.1.1.05.01.3.11.12
mak_11_12_149,149,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,4,Outsourcing,650.1.1.05.01.4.11.12
mak_11_12_150,150,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,5,Overhead,650.1.1.05.01.5.11.12
mak_11_12_151,151,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,1,Bahan habis pakai,650.1.1.05.02.1.11.12
mak_11_12_152,152,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,2,Honor/Upah,650.1.1.05.02.2.11.12
mak_11_12_153,153,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,3,Sewa,650.1.1.05.02.3.11.12
mak_11_12_154,154,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,4,Outsourcing,650.1.1.05.02.4.11.12
mak_11_12_155,155,11.12,Prodi Teknik Arsitektur (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,5,Overhead,650.1.1.05.02.5.11.12
mak_11_12_156,156,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,1,Bahan habis pakai,650.1.1.06.01.1.11.12
mak_11_12_157,157,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,2,Honor/Upah,650.1.1.06.01.2.11.12
mak_11_12_158,158,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,3,Sewa,650.1.1.06.01.3.11.12
mak_11_12_159,159,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,4,Outsourcing,650.1.1.06.01.4.11.12
mak_11_12_160,160,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,5,Overhead,650.1.1.06.01.5.11.12
mak_11_12_161,161,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.02,Jadual ujian,1,Bahan habis pakai,650.1.1.06.02.1.11.12
mak_11_12_162,162,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.02,Jadual ujian,2,Honor/Upah,650.1.1.06.02.2.11.12
mak_11_12_163,163,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.02,Jadual ujian,3,Sewa,650.1.1.06.02.3.11.12
mak_11_12_164,164,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.02,Jadual ujian,4,Outsourcing,650.1.1.06.02.4.11.12
mak_11_12_165,165,11.12,Prodi Teknik Arsitektur (S1),1,1.06,1.06.02,Jadual ujian,5,Overhead,650.1.1.06.02.5.11.12
