id,code unit,unit_id,kebijakan,program,kode kegiatan,kegiatan,cost type,name,kode
mak_20,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.04,Kualifikasi dosen,5,Overhead,650.1.1.01.04.5.11.11
mak_21,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,1,Bahan habis pakai,650.1.1.01.05.1.11.11
mak_22,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,2,Honor/Upah,650.1.1.01.05.2.11.11
mak_23,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,3,Sewa,650.1.1.01.05.3.11.11
mak_24,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,4,Outsourcing,650.1.1.01.05.4.11.11
mak_25,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.05,Ketersediaan fasilitas kuliah,5,Overhead,650.1.1.01.05.5.11.11
mak_26,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,1,Bahan habis pakai,650.1.1.01.06.1.11.11
mak_27,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,2,Honor/Upah,650.1.1.01.06.2.11.11
mak_28,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,3,Sewa,650.1.1.01.06.3.11.11
mak_29,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,4,Outsourcing,650.1.1.01.06.4.11.11
mak_30,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.06,Mata kuliah yg ditawarkan dan jumlah kelas,5,Overhead,650.1.1.01.06.5.11.11
mak_31,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.07,Jadual kuliah,1,Bahan habis pakai,650.1.1.01.07.1.11.11
mak_32,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.07,Jadual kuliah,2,Honor/Upah,650.1.1.01.07.2.11.11
mak_33,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.07,Jadual kuliah,3,Sewa,650.1.1.01.07.3.11.11
mak_34,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.07,Jadual kuliah,4,Outsourcing,650.1.1.01.07.4.11.11
mak_35,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.07,Jadual kuliah,5,Overhead,650.1.1.01.07.5.11.11
mak_36,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,1,Bahan habis pakai,650.1.1.01.08.1.11.11
mak_37,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,2,Honor/Upah,650.1.1.01.08.2.11.11
mak_38,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,3,Sewa,650.1.1.01.08.3.11.11
mak_39,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,4,Outsourcing,650.1.1.01.08.4.11.11
mak_40,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.08,Pengisian KRS oleh mhs,5,Overhead,650.1.1.01.08.5.11.11
mak_41,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,1,Bahan habis pakai,650.1.1.01.09.1.11.11
mak_42,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,2,Honor/Upah,650.1.1.01.09.2.11.11
mak_43,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,3,Sewa,650.1.1.01.09.3.11.11
mak_44,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,4,Outsourcing,650.1.1.01.09.4.11.11
mak_45,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.09,Daftar peserta kelas & presensi/mhs/kuliah,5,Overhead,650.1.1.01.09.5.11.11
mak_46,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,1,Bahan habis pakai,650.1.1.01.10.1.11.11
mak_47,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,2,Honor/Upah,650.1.1.01.10.2.11.11
mak_48,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,3,Sewa,650.1.1.01.10.3.11.11
mak_49,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,4,Outsourcing,650.1.1.01.10.4.11.11
mak_50,11.11,Prodi Teknik Sipil (S1),1,1.01,1.01.10,Daftar hadir dosen/mata kuliah,5,Overhead,650.1.1.01.10.5.11.11
mak_51,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.01,Lembar penyetaraan,1,Bahan habis pakai,650.1.1.02.01.1.11.11
mak_52,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.01,Lembar penyetaraan,2,Honor/Upah,650.1.1.02.01.2.11.11
mak_53,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.01,Lembar penyetaraan,3,Sewa,650.1.1.02.01.3.11.11
mak_54,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.01,Lembar penyetaraan,4,Outsourcing,650.1.1.02.01.4.11.11
mak_55,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.01,Lembar penyetaraan,5,Overhead,650.1.1.02.01.5.11.11
mak_56,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,1,Bahan habis pakai,650.1.1.02.02.1.11.11
mak_57,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,2,Honor/Upah,650.1.1.02.02.2.11.11
mak_58,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,3,Sewa,650.1.1.02.02.3.11.11
mak_59,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,4,Outsourcing,650.1.1.02.02.4.11.11
mak_60,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.02,Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu,5,Overhead,650.1.1.02.02.5.11.11
mak_61,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,1,Bahan habis pakai,650.1.1.02.03.1.11.11
mak_62,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,2,Honor/Upah,650.1.1.02.03.2.11.11
mak_63,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,3,Sewa,650.1.1.02.03.3.11.11
mak_64,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,4,Outsourcing,650.1.1.02.03.4.11.11
mak_65,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.03,Ketersediaan rancangan praktikum,5,Overhead,650.1.1.02.03.5.11.11
mak_66,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.04,Jadwal praktikum,1,Bahan habis pakai,650.1.1.02.04.1.11.11
mak_67,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.04,Jadwal praktikum,2,Honor/Upah,650.1.1.02.04.2.11.11
mak_68,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.04,Jadwal praktikum,3,Sewa,650.1.1.02.04.3.11.11
mak_69,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.04,Jadwal praktikum,4,Outsourcing,650.1.1.02.04.4.11.11
mak_70,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.04,Jadwal praktikum,5,Overhead,650.1.1.02.04.5.11.11
mak_71,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.05,Modul / alat praktikum,1,Bahan habis pakai,650.1.1.02.05.1.11.11
mak_72,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.05,Modul / alat praktikum,2,Honor/Upah,650.1.1.02.05.2.11.11
mak_73,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.05,Modul / alat praktikum,3,Sewa,650.1.1.02.05.3.11.11
mak_74,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.05,Modul / alat praktikum,4,Outsourcing,650.1.1.02.05.4.11.11
mak_75,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.05,Modul / alat praktikum,5,Overhead,650.1.1.02.05.5.11.11
mak_76,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.06,Bahan habis pakai,1,Bahan habis pakai,650.1.1.02.06.1.11.11
mak_77,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.06,Bahan habis pakai,2,Honor/Upah,650.1.1.02.06.2.11.11
mak_78,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.06,Bahan habis pakai,3,Sewa,650.1.1.02.06.3.11.11
mak_79,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.06,Bahan habis pakai,4,Outsourcing,650.1.1.02.06.4.11.11
mak_80,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.06,Bahan habis pakai,5,Overhead,650.1.1.02.06.5.11.11
mak_81,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.07,Dana praktikum,1,Bahan habis pakai,650.1.1.02.07.1.11.11
mak_82,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.07,Dana praktikum,2,Honor/Upah,650.1.1.02.07.2.11.11
mak_83,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.07,Dana praktikum,3,Sewa,650.1.1.02.07.3.11.11
mak_84,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.07,Dana praktikum,4,Outsourcing,650.1.1.02.07.4.11.11
mak_85,11.11,Prodi Teknik Sipil (S1),1,1.02,1.02.07,Dana praktikum,5,Overhead,650.1.1.02.07.5.11.11
mak_86,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,1,Bahan habis pakai,650.1.1.03.01.1.11.11
mak_87,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,2,Honor/Upah,650.1.1.03.01.2.11.11
mak_88,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,3,Sewa,650.1.1.03.01.3.11.11
mak_89,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,4,Outsourcing,650.1.1.03.01.4.11.11
mak_90,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.01,Ketersediaan rancangan praktikum,5,Overhead,650.1.1.03.01.5.11.11
mak_91,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.02,Jadual praktikum,1,Bahan habis pakai,650.1.1.03.02.1.11.11
mak_92,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.02,Jadual praktikum,2,Honor/Upah,650.1.1.03.02.2.11.11
mak_93,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.02,Jadual praktikum,3,Sewa,650.1.1.03.02.3.11.11
mak_94,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.02,Jadual praktikum,4,Outsourcing,650.1.1.03.02.4.11.11
mak_95,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.02,Jadual praktikum,5,Overhead,650.1.1.03.02.5.11.11
mak_96,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.03,Modul/alat praktikum,1,Bahan habis pakai,650.1.1.03.03.1.11.11
mak_97,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.03,Modul/alat praktikum,2,Honor/Upah,650.1.1.03.03.2.11.11
mak_98,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.03,Modul/alat praktikum,3,Sewa,650.1.1.03.03.3.11.11
mak_99,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.03,Modul/alat praktikum,4,Outsourcing,650.1.1.03.03.4.11.11
mak_100,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.03,Modul/alat praktikum,5,Overhead,650.1.1.03.03.5.11.11
mak_101,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.04,Bahan habis pakai,1,Bahan habis pakai,650.1.1.03.04.1.11.11
mak_102,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.04,Bahan habis pakai,2,Honor/Upah,650.1.1.03.04.2.11.11
mak_103,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.04,Bahan habis pakai,3,Sewa,650.1.1.03.04.3.11.11
mak_104,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.04,Bahan habis pakai,4,Outsourcing,650.1.1.03.04.4.11.11
mak_105,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.04,Bahan habis pakai,5,Overhead,650.1.1.03.04.5.11.11
mak_106,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.05,Dana praktikum,1,Bahan habis pakai,650.1.1.03.05.1.11.11
mak_107,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.05,Dana praktikum,2,Honor/Upah,650.1.1.03.05.2.11.11
mak_108,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.05,Dana praktikum,3,Sewa,650.1.1.03.05.3.11.11
mak_109,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.05,Dana praktikum,4,Outsourcing,650.1.1.03.05.4.11.11
mak_110,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.05,Dana praktikum,5,Overhead,650.1.1.03.05.5.11.11
mak_111,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.06,Daftar peserta praktikum,1,Bahan habis pakai,650.1.1.03.06.1.11.11
mak_112,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.06,Daftar peserta praktikum,2,Honor/Upah,650.1.1.03.06.2.11.11
mak_113,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.06,Daftar peserta praktikum,3,Sewa,650.1.1.03.06.3.11.11
mak_114,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.06,Daftar peserta praktikum,4,Outsourcing,650.1.1.03.06.4.11.11
mak_115,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.06,Daftar peserta praktikum,5,Overhead,650.1.1.03.06.5.11.11
mak_116,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.07,Asisten/instruktur,1,Bahan habis pakai,650.1.1.03.07.1.11.11
mak_117,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.07,Asisten/instruktur,2,Honor/Upah,650.1.1.03.07.2.11.11
mak_118,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.07,Asisten/instruktur,3,Sewa,650.1.1.03.07.3.11.11
mak_119,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.07,Asisten/instruktur,4,Outsourcing,650.1.1.03.07.4.11.11
mak_120,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.07,Asisten/instruktur,5,Overhead,650.1.1.03.07.5.11.11
mak_121,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,1,Bahan habis pakai,650.1.1.03.08.1.11.11
mak_122,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,2,Honor/Upah,650.1.1.03.08.2.11.11
mak_123,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,3,Sewa,650.1.1.03.08.3.11.11
mak_124,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,4,Outsourcing,650.1.1.03.08.4.11.11
mak_125,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.08,Penugasan asisten/instruktur,5,Overhead,650.1.1.03.08.5.11.11
mak_126,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.09,Nilai akhir praktikum,1,Bahan habis pakai,650.1.1.03.09.1.11.11
mak_127,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.09,Nilai akhir praktikum,2,Honor/Upah,650.1.1.03.09.2.11.11
mak_128,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.09,Nilai akhir praktikum,3,Sewa,650.1.1.03.09.3.11.11
mak_129,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.09,Nilai akhir praktikum,4,Outsourcing,650.1.1.03.09.4.11.11
mak_130,11.11,Prodi Teknik Sipil (S1),1,1.03,1.03.09,Nilai akhir praktikum,5,Overhead,650.1.1.03.09.5.11.11
mak_131,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,1,Bahan habis pakai,650.1.1.04.01.1.11.11
mak_132,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,2,Honor/Upah,650.1.1.04.01.2.11.11
mak_133,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,3,Sewa,650.1.1.04.01.3.11.11
mak_134,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,4,Outsourcing,650.1.1.04.01.4.11.11
mak_135,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.01,Jumlah kehadiran dosen,5,Overhead,650.1.1.04.01.5.11.11
mak_136,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.02,Presensi mhs,1,Bahan habis pakai,650.1.1.04.02.1.11.11
mak_137,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.02,Presensi mhs,2,Honor/Upah,650.1.1.04.02.2.11.11
mak_138,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.02,Presensi mhs,3,Sewa,650.1.1.04.02.3.11.11
mak_139,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.02,Presensi mhs,4,Outsourcing,650.1.1.04.02.4.11.11
mak_140,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.02,Presensi mhs,5,Overhead,650.1.1.04.02.5.11.11
mak_141,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,1,Bahan habis pakai,650.1.1.04.03.1.11.11
mak_142,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,2,Honor/Upah,650.1.1.04.03.2.11.11
mak_143,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,3,Sewa,650.1.1.04.03.3.11.11
mak_144,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,4,Outsourcing,650.1.1.04.03.4.11.11
mak_145,11.11,Prodi Teknik Sipil (S1),1,1.04,1.04.03,Mahasiswa pindahan/melanjutkan,5,Overhead,650.1.1.04.03.5.11.11
mak_146,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,1,Bahan habis pakai,650.1.1.05.01.1.11.11
mak_147,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,2,Honor/Upah,650.1.1.05.01.2.11.11
mak_148,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,3,Sewa,650.1.1.05.01.3.11.11
mak_149,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,4,Outsourcing,650.1.1.05.01.4.11.11
mak_150,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.01,Jumlah kehadiran asisten/instruktur,5,Overhead,650.1.1.05.01.5.11.11
mak_151,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,1,Bahan habis pakai,650.1.1.05.02.1.11.11
mak_152,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,2,Honor/Upah,650.1.1.05.02.2.11.11
mak_153,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,3,Sewa,650.1.1.05.02.3.11.11
mak_154,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,4,Outsourcing,650.1.1.05.02.4.11.11
mak_155,11.11,Prodi Teknik Sipil (S1),1,1.05,1.05.02,Presensi mhs peserta praktikum,5,Overhead,650.1.1.05.02.5.11.11
mak_156,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,1,Bahan habis pakai,650.1.1.06.01.1.11.11
mak_157,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,2,Honor/Upah,650.1.1.06.01.2.11.11
mak_158,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,3,Sewa,650.1.1.06.01.3.11.11
mak_159,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,4,Outsourcing,650.1.1.06.01.4.11.11
mak_160,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.01,Tersediaan sarana & prasarana ujian,5,Overhead,650.1.1.06.01.5.11.11
mak_161,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.02,Jadual ujian,1,Bahan habis pakai,650.1.1.06.02.1.11.11
mak_162,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.02,Jadual ujian,2,Honor/Upah,650.1.1.06.02.2.11.11
mak_163,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.02,Jadual ujian,3,Sewa,650.1.1.06.02.3.11.11
mak_164,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.02,Jadual ujian,4,Outsourcing,650.1.1.06.02.4.11.11
mak_165,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.02,Jadual ujian,5,Overhead,650.1.1.06.02.5.11.11
mak_166,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.03,KPU,1,Bahan habis pakai,650.1.1.06.03.1.11.11
mak_167,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.03,KPU,2,Honor/Upah,650.1.1.06.03.2.11.11
mak_168,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.03,KPU,3,Sewa,650.1.1.06.03.3.11.11
mak_169,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.03,KPU,4,Outsourcing,650.1.1.06.03.4.11.11
mak_170,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.03,KPU,5,Overhead,650.1.1.06.03.5.11.11
mak_171,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.04,Naskah ujian & lembar jawab,1,Bahan habis pakai,650.1.1.06.04.1.11.11
mak_172,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.04,Naskah ujian & lembar jawab,2,Honor/Upah,650.1.1.06.04.2.11.11
mak_173,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.04,Naskah ujian & lembar jawab,3,Sewa,650.1.1.06.04.3.11.11
mak_174,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.04,Naskah ujian & lembar jawab,4,Outsourcing,650.1.1.06.04.4.11.11
mak_175,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.04,Naskah ujian & lembar jawab,5,Overhead,650.1.1.06.04.5.11.11
mak_176,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.05,Daftar hadir & daftar nilai peserta ujian,1,Bahan habis pakai,650.1.1.06.05.1.11.11
mak_177,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.05,Daftar hadir & daftar nilai peserta ujian,2,Honor/Upah,650.1.1.06.05.2.11.11
mak_178,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.05,Daftar hadir & daftar nilai peserta ujian,3,Sewa,650.1.1.06.05.3.11.11
mak_179,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.05,Daftar hadir & daftar nilai peserta ujian,4,Outsourcing,650.1.1.06.05.4.11.11
mak_180,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.05,Daftar hadir & daftar nilai peserta ujian,5,Overhead,650.1.1.06.05.5.11.11
mak_181,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.06,Nilai akhir,1,Bahan habis pakai,650.1.1.06.06.1.11.11
mak_182,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.06,Nilai akhir,2,Honor/Upah,650.1.1.06.06.2.11.11
mak_183,11.11,Prodi Teknik Sipil (S1),1,1.06,1.06.06,Nilai akhir,3,Sewa,650.1.1.06.06.3.11.11
