"id","name","kota_id"
"kec1103040","KLUET UTARA","KABUPATEN ACEH SELATAN"
"kec1103041","PASIE RAJA","KABUPATEN ACEH SELATAN"
"kec1103042","KLUET TENGAH","KABUPATEN ACEH SELATAN"
"kec1103050","TAPAK TUAN","KABUPATEN ACEH SELATAN"
"kec1103060","SAMA DUA","KABUPATEN ACEH SELATAN"
"kec1103070","SAWANG","KABUPATEN ACEH SELATAN"
"kec1103080","MEUKEK","KABUPATEN ACEH SELATAN"
"kec1103090","LABUHAN HAJI","KABUPATEN ACEH SELATAN"
"kec1103091","LABUHAN HAJI TIMUR","KABUPATEN ACEH SELATAN"
"kec1103092","LABUHAN HAJI BARAT","KABUPATEN ACEH SELATAN"
"kec1104010","LAWE ALAS","KABUPATEN ACEH TENGGARA"
"kec1104011","BABUL RAHMAH","KABUPATEN ACEH TENGGARA"
"kec1104012","TANOH ALAS","KABUPATEN ACEH TENGGARA"
"kec1104020","LAWE SIGALA-GALA","KABUPATEN ACEH TENGGARA"
"kec1104021","BABUL MAKMUR","KABUPATEN ACEH TENGGARA"
"kec1104022","SEMADAM","KABUPATEN ACEH TENGGARA"
"kec1104023","LAUSER","KABUPATEN ACEH TENGGARA"
"kec1104030","BAMBEL","KABUPATEN ACEH TENGGARA"
"kec1104031","BUKIT TUSAM","KABUPATEN ACEH TENGGARA"
"kec1104032","LAWE SUMUR","KABUPATEN ACEH TENGGARA"
"kec1104040","BABUSSALAM","KABUPATEN ACEH TENGGARA"
"kec1104041","LAWE BULAN","KABUPATEN ACEH TENGGARA"
"kec1104050","BADAR","KABUPATEN ACEH TENGGARA"
"kec1104051","DARUL HASANAH","KABUPATEN ACEH TENGGARA"
"kec1104052","KETAMBE","KABUPATEN ACEH TENGGARA"
"kec1104053","DELENG POKHKISEN","KABUPATEN ACEH TENGGARA"
"kec1105080","SERBA JADI","KABUPATEN ACEH TIMUR"
"kec1105081","SIMPANG JERNIH","KABUPATEN ACEH TIMUR"
"kec1105082","PEUNARON","KABUPATEN ACEH TIMUR"
"kec1105090","BIREM BAYEUN","KABUPATEN ACEH TIMUR"
"kec1105100","RANTAU SELAMAT","KABUPATEN ACEH TIMUR"
"kec1105101","SUNGAI RAYA","KABUPATEN ACEH TIMUR"
"kec1105110","PEUREULAK","KABUPATEN ACEH TIMUR"
"kec1105111","PEUREULAK TIMUR","KABUPATEN ACEH TIMUR"
"kec1105112","PEUREULAK BARAT","KABUPATEN ACEH TIMUR"
"kec1105120","RANTO PEUREULAK","KABUPATEN ACEH TIMUR"
"kec1105130","IDI RAYEUK","KABUPATEN ACEH TIMUR"
"kec1105131","PEUDAWA","KABUPATEN ACEH TIMUR"
"kec1105132","BANDA ALAM","KABUPATEN ACEH TIMUR"
"kec1105133","IDI TUNONG","KABUPATEN ACEH TIMUR"
"kec1105134","DARUL IHSAN","KABUPATEN ACEH TIMUR"
"kec1105135","IDI TIMUR","KABUPATEN ACEH TIMUR"
"kec1105140","DARUL AMAN","KABUPATEN ACEH TIMUR"
"kec1105150","NURUSSALAM","KABUPATEN ACEH TIMUR"
"kec1105151","DARUL FALAH","KABUPATEN ACEH TIMUR"
"kec1105160","JULOK","KABUPATEN ACEH TIMUR"
"kec1105161","INDRA MAKMUR","KABUPATEN ACEH TIMUR"
"kec1105170","PANTE BIDARI","KABUPATEN ACEH TIMUR"
"kec1105180","SIMPANG ULIM","KABUPATEN ACEH TIMUR"
"kec1105181","MADAT","KABUPATEN ACEH TIMUR"
"kec1106010","LINGE","KABUPATEN ACEH TENGAH"
"kec1106011","ATU LINTANG","KABUPATEN ACEH TENGAH"
"kec1106012","JAGONG JEGET","KABUPATEN ACEH TENGAH"
"kec1106020","BINTANG","KABUPATEN ACEH TENGAH"
"kec1106031","LUT TAWAR","KABUPATEN ACEH TENGAH"
"kec1106032","KEBAYAKAN","KABUPATEN ACEH TENGAH"
"kec1106040","PEGASING","KABUPATEN ACEH TENGAH"
"kec1106041","BIES","KABUPATEN ACEH TENGAH"
"kec1106050","BEBESEN","KABUPATEN ACEH TENGAH"
"kec1106051","KUTE PANANG","KABUPATEN ACEH TENGAH"
"kec1106060","SILIH NARA","KABUPATEN ACEH TENGAH"
"kec1106061","KETOL","KABUPATEN ACEH TENGAH"
"kec1106062","CELALA","KABUPATEN ACEH TENGAH"
"kec1106063","RUSIP ANTARA","KABUPATEN ACEH TENGAH"
"kec1107050","JOHAN PAHLAWAN","KABUPATEN ACEH BARAT"
"kec1107060","SAMATIGA","KABUPATEN ACEH BARAT"
"kec1107061","BUBON","KABUPATEN ACEH BARAT"
"kec1107062","ARONGAN LAMBALEK","KABUPATEN ACEH BARAT"
"kec1107070","WOYLA","KABUPATEN ACEH BARAT"
"kec1107071","WOYLA BARAT","KABUPATEN ACEH BARAT"
"kec1107072","WOYLA TIMUR","KABUPATEN ACEH BARAT"
"kec1107080","KAWAY XVI","KABUPATEN ACEH BARAT"
"kec1107081","MEUREUBO","KABUPATEN ACEH BARAT"
"kec1107082","PANTAI CEUREMEN","KABUPATEN ACEH BARAT"
"kec1107083","PANTON REU","KABUPATEN ACEH BARAT"
"kec1107090","SUNGAI MAS","KABUPATEN ACEH BARAT"
"kec1108010","LHOONG","KABUPATEN ACEH BESAR"
"kec1108020","LHOKNGA","KABUPATEN ACEH BESAR"
"kec1108021","LEUPUNG","KABUPATEN ACEH BESAR"
"kec1108030","INDRAPURI","KABUPATEN ACEH BESAR"
"kec1108031","KUTA COT GLIE","KABUPATEN ACEH BESAR"
"kec1108040","SEULIMEUM","KABUPATEN ACEH BESAR"
"kec1108041","KOTA JANTHO","KABUPATEN ACEH BESAR"
"kec1108042","LEMBAH SEULAWAH","KABUPATEN ACEH BESAR"
"kec1108050","MESJID RAYA","KABUPATEN ACEH BESAR"
"kec1108060","DARUSSALAM","KABUPATEN ACEH BESAR"
"kec1108061","BAITUSSALAM","KABUPATEN ACEH BESAR"
"kec1108070","KUTA BARO","KABUPATEN ACEH BESAR"
"kec1108080","MONTASIK","KABUPATEN ACEH BESAR"
"kec1108081","BLANG BINTANG","KABUPATEN ACEH BESAR"
"kec1108090","INGIN JAYA","KABUPATEN ACEH BESAR"
"kec1108091","KRUENG BARONA JAYA","KABUPATEN ACEH BESAR"
"kec1108100","SUKA MAKMUR","KABUPATEN ACEH BESAR"
"kec1108101","KUTA MALAKA","KABUPATEN ACEH BESAR"
"kec1108102","SIMPANG TIGA","KABUPATEN ACEH BESAR"
"kec1108110","DARUL IMARAH","KABUPATEN ACEH BESAR"
"kec1108111","DARUL KAMAL","KABUPATEN ACEH BESAR"
"kec1108120","PEUKAN BADA","KABUPATEN ACEH BESAR"
"kec1108130","PULO ACEH","KABUPATEN ACEH BESAR"
"kec1109010","GEUMPANG","KABUPATEN PIDIE"
"kec1109011","MANE","KABUPATEN PIDIE"
"kec1109070","GLUMPANG TIGA","KABUPATEN PIDIE"
"kec1109071","GLUMPANG BARO","KABUPATEN PIDIE"
"kec1109080","MUTIARA","KABUPATEN PIDIE"
"kec1109081","MUTIARA TIMUR","KABUPATEN PIDIE"
"kec1109090","TIRO/TRUSEB","KABUPATEN PIDIE"
"kec1109100","TANGSE","KABUPATEN PIDIE"
"kec1109111","KEUMALA","KABUPATEN PIDIE"
"kec1109112","TITEUE","KABUPATEN PIDIE"
"kec1109120","SAKTI","KABUPATEN PIDIE"
"kec1109130","MILA","KABUPATEN PIDIE"
"kec1109140","PADANG TIJI","KABUPATEN PIDIE"
"kec1109150","DELIMA","KABUPATEN PIDIE"
"kec1109151","GRONG GRONG","KABUPATEN PIDIE"
"kec1109160","INDRAJAYA","KABUPATEN PIDIE"
"kec1109170","PEUKAN BARO","KABUPATEN PIDIE"
"kec1109180","KEMBANG TANJONG","KABUPATEN PIDIE"
"kec1109190","SIMPANG TIGA","KABUPATEN PIDIE"
"kec1109200","KOTA SIGLI","KABUPATEN PIDIE"
"kec1109210","PIDIE","KABUPATEN PIDIE"
"kec1109220","BATEE","KABUPATEN PIDIE"
"kec1109230","MUARA TIGA","KABUPATEN PIDIE"
"kec1110010","SAMALANGA","KABUPATEN BIREUEN"
"kec1110011","SIMPANG MAMPLAM","KABUPATEN BIREUEN"
"kec1110020","PANDRAH","KABUPATEN BIREUEN"
"kec1110030","JEUNIEB","KABUPATEN BIREUEN"
"kec1110031","PEULIMBANG","KABUPATEN BIREUEN"
"kec1110040","PEUDADA","KABUPATEN BIREUEN"
"kec1110050","JULI","KABUPATEN BIREUEN"
"kec1110060","JEUMPA","KABUPATEN BIREUEN"
"kec1110061","KOTA JUANG","KABUPATEN BIREUEN"
"kec1110062","KUALA","KABUPATEN BIREUEN"
"kec1110070","JANGKA","KABUPATEN BIREUEN"
"kec1110080","PEUSANGAN","KABUPATEN BIREUEN"
"kec1110081","PEUSANGAN SELATAN","KABUPATEN BIREUEN"
"kec1110082","PEUSANGAN SIBLAH KRUENG","KABUPATEN BIREUEN"
"kec1110090","MAKMUR","KABUPATEN BIREUEN"
"kec1110100","GANDA PURA","KABUPATEN BIREUEN"
"kec1110101","KUTA BLANG","KABUPATEN BIREUEN"
"kec1111010","SAWANG","KABUPATEN ACEH UTARA"
"kec1111020","NISAM","KABUPATEN ACEH UTARA"
"kec1111021","NISAM ANTARA","KABUPATEN ACEH UTARA"
"kec1111022","BANDA BARO","KABUPATEN ACEH UTARA"
"kec1111030","KUTA MAKMUR","KABUPATEN ACEH UTARA"
"kec1111031","SIMPANG KERAMAT","KABUPATEN ACEH UTARA"
"kec1111040","SYAMTALIRA BAYU","KABUPATEN ACEH UTARA"
"kec1111041","GEUREUDONG PASE","KABUPATEN ACEH UTARA"
"kec1111050","MEURAH MULIA","KABUPATEN ACEH UTARA"
"kec1111060","MATANGKULI","KABUPATEN ACEH UTARA"
"kec1111061","PAYA BAKONG","KABUPATEN ACEH UTARA"
"kec1111062","PIRAK TIMU","KABUPATEN ACEH UTARA"
"kec1111070","COT GIREK","KABUPATEN ACEH UTARA"
"kec1111080","TANAH JAMBO AYE","KABUPATEN ACEH UTARA"
"kec1111081","LANGKAHAN","KABUPATEN ACEH UTARA"
"kec1111090","SEUNUDDON","KABUPATEN ACEH UTARA"
"kec1111100","BAKTIYA","KABUPATEN ACEH UTARA"
"kec1111101","BAKTIYA BARAT","KABUPATEN ACEH UTARA"
"kec1111110","LHOKSUKON","KABUPATEN ACEH UTARA"
"kec1111120","TANAH LUAS","KABUPATEN ACEH UTARA"
"kec1111121","NIBONG","KABUPATEN ACEH UTARA"
"kec1111130","SAMUDERA","KABUPATEN ACEH UTARA"
"kec1111140","SYAMTALIRA ARON","KABUPATEN ACEH UTARA"
"kec1111150","TANAH PASIR","KABUPATEN ACEH UTARA"
"kec1111151","LAPANG","KABUPATEN ACEH UTARA"
"kec1111160","MUARA BATU","KABUPATEN ACEH UTARA"
"kec1111170","DEWANTARA","KABUPATEN ACEH UTARA"
"kec1112010","MANGGENG","KABUPATEN ACEH BARAT DAYA"
"kec1112011","LEMBAH SABIL","KABUPATEN ACEH BARAT DAYA"
"kec1112020","TANGAN-TANGAN","KABUPATEN ACEH BARAT DAYA"
"kec1112021","SETIA","KABUPATEN ACEH BARAT DAYA"
"kec1112030","BLANG PIDIE","KABUPATEN ACEH BARAT DAYA"
"kec1112031","JEUMPA","KABUPATEN ACEH BARAT DAYA"
"kec1112040","SUSOH","KABUPATEN ACEH BARAT DAYA"
"kec1112050","KUALA BATEE","KABUPATEN ACEH BARAT DAYA"
"kec1112060","BABAH ROT","KABUPATEN ACEH BARAT DAYA"
"kec1113010","KUTA PANJANG","KABUPATEN GAYO LUES"
"kec1113011","BLANG JERANGO","KABUPATEN GAYO LUES"
"kec1113020","BLANGKEJEREN","KABUPATEN GAYO LUES"
"kec1113021","PUTRI BETUNG","KABUPATEN GAYO LUES"
"kec1113022","DABUN GELANG","KABUPATEN GAYO LUES"
"kec1113023","BLANG PEGAYON","KABUPATEN GAYO LUES"
"kec1113030","PINING","KABUPATEN GAYO LUES"
"kec1113040","RIKIT GAIB","KABUPATEN GAYO LUES"
"kec1113041","PANTAN CUACA","KABUPATEN GAYO LUES"
"kec1113050","TERANGUN","KABUPATEN GAYO LUES"
"kec1113051","TRIPE JAYA","KABUPATEN GAYO LUES"
"kec1114010","TAMIANG HULU","KABUPATEN ACEH TAMIANG"
"kec1114011","BANDAR PUSAKA","KABUPATEN ACEH TAMIANG"
"kec1114020","KEJURUAN MUDA","KABUPATEN ACEH TAMIANG"
"kec1114021","TENGGULUN","KABUPATEN ACEH TAMIANG"
"kec1114030","RANTAU","KABUPATEN ACEH TAMIANG"
"kec1114040","KOTA KUALA SIMPANG","KABUPATEN ACEH TAMIANG"
"kec1114050","SERUWAY","KABUPATEN ACEH TAMIANG"
"kec1114060","BENDAHARA","KABUPATEN ACEH TAMIANG"
"kec1114061","BANDA MULIA","KABUPATEN ACEH TAMIANG"
"kec1114070","KARANG BARU","KABUPATEN ACEH TAMIANG"
"kec1114071","SEKERAK","KABUPATEN ACEH TAMIANG"
"kec1114080","MANYAK PAYED","KABUPATEN ACEH TAMIANG"
"kec1115010","DARUL MAKMUR","KABUPATEN NAGAN RAYA"
"kec1115011","TRIPA MAKMUR","KABUPATEN NAGAN RAYA"
"kec1115020","KUALA","KABUPATEN NAGAN RAYA"
"kec1115021","KUALA PESISIR","KABUPATEN NAGAN RAYA"
"kec1115022","TADU RAYA","KABUPATEN NAGAN RAYA"
"kec1115030","BEUTONG","KABUPATEN NAGAN RAYA"
"kec1115031","BEUTONG ATEUH BANGGALANG","KABUPATEN NAGAN RAYA"
"kec1115040","SEUNAGAN","KABUPATEN NAGAN RAYA"
"kec1115041","SUKA MAKMUE","KABUPATEN NAGAN RAYA"
"kec1115050","SEUNAGAN TIMUR","KABUPATEN NAGAN RAYA"
"kec1116010","TEUNOM","KABUPATEN ACEH JAYA"
"kec1116011","PASIE RAYA","KABUPATEN ACEH JAYA"
"kec1116020","PANGA","KABUPATEN ACEH JAYA"
"kec1116030","KRUENG SABEE","KABUPATEN ACEH JAYA"
"kec1116040","SETIA BAKTI","KABUPATEN ACEH JAYA"
"kec1116050","SAMPOINIET","KABUPATEN ACEH JAYA"
"kec1116051","DARUL HIKMAH","KABUPATEN ACEH JAYA"
"kec1116060","JAYA","KABUPATEN ACEH JAYA"
"kec1116061","INDRA JAYA","KABUPATEN ACEH JAYA"
"kec1117010","TIMANG GAJAH","KABUPATEN BENER MERIAH"
"kec1117011","GAJAH PUTIH","KABUPATEN BENER MERIAH"
"kec1117020","PINTU RIME GAYO","KABUPATEN BENER MERIAH"
"kec1117030","BUKIT","KABUPATEN BENER MERIAH"
"kec1117040","WIH PESAM","KABUPATEN BENER MERIAH"
"kec1117050","BANDAR","KABUPATEN BENER MERIAH"
"kec1117051","BENER KELIPAH","KABUPATEN BENER MERIAH"
"kec1117060","SYIAH UTAMA","KABUPATEN BENER MERIAH"
"kec1117061","MESIDAH","KABUPATEN BENER MERIAH"
"kec1117070","PERMATA","KABUPATEN BENER MERIAH"
"kec1118010","MEUREUDU","KABUPATEN PIDIE JAYA"
"kec1118020","MEURAH DUA","KABUPATEN PIDIE JAYA"
"kec1118030","BANDAR DUA","KABUPATEN PIDIE JAYA"
"kec1118040","JANGKA BUYA","KABUPATEN PIDIE JAYA"
"kec1118050","ULIM","KABUPATEN PIDIE JAYA"
"kec1118060","TRIENGGADENG","KABUPATEN PIDIE JAYA"
"kec1118070","PANTERAJA","KABUPATEN PIDIE JAYA"
"kec1118080","BANDAR BARU","KABUPATEN PIDIE JAYA"
"kec1171010","MEURAXA","KOTA BANDA ACEH"
"kec1171011","JAYA BARU","KOTA BANDA ACEH"
"kec1171012","BANDA RAYA","KOTA BANDA ACEH"
"kec1171020","BAITURRAHMAN","KOTA BANDA ACEH"
"kec1171021","LUENG BATA","KOTA BANDA ACEH"
"kec1171030","KUTA ALAM","KOTA BANDA ACEH"
"kec1171031","KUTA RAJA","KOTA BANDA ACEH"
"kec1171040","SYIAH KUALA","KOTA BANDA ACEH"
"kec1171041","ULEE KARENG","KOTA BANDA ACEH"
"kec1172010","SUKAJAYA","KOTA SABANG"
"kec1172020","SUKAKARYA","KOTA SABANG"
"kec1173010","LANGSA TIMUR","KOTA LANGSA"
"kec1173011","LANGSA LAMA","KOTA LANGSA"
"kec1173020","LANGSA BARAT","KOTA LANGSA"
"kec1173021","LANGSA BARO","KOTA LANGSA"
"kec1173030","LANGSA KOTA","KOTA LANGSA"
"kec1174010","BLANG MANGAT","KOTA LHOKSEUMAWE"
"kec1174020","MUARA DUA","KOTA LHOKSEUMAWE"
"kec1174021","MUARA SATU","KOTA LHOKSEUMAWE"
"kec1174030","BANDA SAKTI","KOTA LHOKSEUMAWE"
"kec1175010","SIMPANG KIRI","KOTA SUBULUSSALAM"
"kec1175020","PENANGGALAN","KOTA SUBULUSSALAM"
"kec1175030","RUNDENG","KOTA SUBULUSSALAM"
"kec1175040","SULTAN DAULAT","KOTA SUBULUSSALAM"
"kec1175050","LONGKIB","KOTA SUBULUSSALAM"
"kec1201060","IDANO GAWO","KABUPATEN NIAS"
"kec1201061","BAWOLATO","KABUPATEN NIAS"
"kec1201062","ULUGAWO","KABUPATEN NIAS"
"kec1201070","GIDO","KABUPATEN NIAS"
"kec1201071","SOGAEADU","KABUPATEN NIAS"
"kec1201081","MA U","KABUPATEN NIAS"
"kec1201082","SOMOLO - MOLO","KABUPATEN NIAS"
"kec1201130","HILIDUHO","KABUPATEN NIAS"
"kec1201131","HILI SERANGKAI","KABUPATEN NIAS"
"kec1201132","BOTOMUZOI","KABUPATEN NIAS"
"kec1202010","BATAHAN","KABUPATEN MANDAILING NATAL"
"kec1202011","SINUNUKAN","KABUPATEN MANDAILING NATAL"
"kec1202020","BATANG NATAL","KABUPATEN MANDAILING NATAL"
"kec1202021","LINGGA BAYU","KABUPATEN MANDAILING NATAL"
"kec1202022","RANTO BAEK","KABUPATEN MANDAILING NATAL"
"kec1202030","KOTANOPAN","KABUPATEN MANDAILING NATAL"
"kec1202031","ULU PUNGKUT","KABUPATEN MANDAILING NATAL"
"kec1202032","TAMBANGAN","KABUPATEN MANDAILING NATAL"
"kec1202033","LEMBAH SORIK MARAPI","KABUPATEN MANDAILING NATAL"
"kec1202034","PUNCAK SORIK MARAPI","KABUPATEN MANDAILING NATAL"
"kec1202040","MUARA SIPONGI","KABUPATEN MANDAILING NATAL"
"kec1202041","PAKANTAN","KABUPATEN MANDAILING NATAL"
"kec1202050","PANYABUNGAN","KABUPATEN MANDAILING NATAL"
"kec1202051","PANYABUNGAN SELATAN","KABUPATEN MANDAILING NATAL"
"kec1202052","PANYABUNGAN BARAT","KABUPATEN MANDAILING NATAL"
"kec1202053","PANYABUNGAN UTARA","KABUPATEN MANDAILING NATAL"
"kec1202054","PANYABUNGAN TIMUR","KABUPATEN MANDAILING NATAL"
"kec1202055","HUTA BARGOT","KABUPATEN MANDAILING NATAL"
"kec1202060","NATAL","KABUPATEN MANDAILING NATAL"
"kec1202070","MUARA BATANG GADIS","KABUPATEN MANDAILING NATAL"
"kec1202080","SIABU","KABUPATEN MANDAILING NATAL"
"kec1202081","BUKIT MALINTANG","KABUPATEN MANDAILING NATAL"
"kec1202082","NAGA JUANG","KABUPATEN MANDAILING NATAL"
"kec1203010","BATANG ANGKOLA","KABUPATEN TAPANULI SELATAN"
"kec1203011","SAYUR MATINGGI","KABUPATEN TAPANULI SELATAN"
"kec1203012","TANO TOMBANGAN ANGKOLA","KABUPATEN TAPANULI SELATAN"
"kec1203070","ANGKOLA TIMUR","KABUPATEN TAPANULI SELATAN"
"kec1203080","ANGKOLA SELATAN","KABUPATEN TAPANULI SELATAN"
"kec1203090","ANGKOLA  BARAT","KABUPATEN TAPANULI SELATAN"
"kec1203091","ANGKOLA SANGKUNUR","KABUPATEN TAPANULI SELATAN"
"kec1203100","BATANG TORU","KABUPATEN TAPANULI SELATAN"
"kec1203101","MARANCAR","KABUPATEN TAPANULI SELATAN"
"kec1203102","MUARA BATANG TORU","KABUPATEN TAPANULI SELATAN"
"kec1203110","SIPIROK","KABUPATEN TAPANULI SELATAN"
"kec1203120","ARSE","KABUPATEN TAPANULI SELATAN"
"kec1203160","SAIPAR DOLOK HOLE","KABUPATEN TAPANULI SELATAN"
"kec1203161","AEK BILAH","KABUPATEN TAPANULI SELATAN"
"kec1204010","PINANG SORI","KABUPATEN TAPANULI TENGAH"
"kec1204011","BADIRI","KABUPATEN TAPANULI TENGAH"
"kec1204020","SIBABANGUN","KABUPATEN TAPANULI TENGAH"
"kec1204021","LUMUT","KABUPATEN TAPANULI TENGAH"
"kec1204022","SUKABANGUN","KABUPATEN TAPANULI TENGAH"
"kec1204030","PANDAN","KABUPATEN TAPANULI TENGAH"
"kec1204031","TUKKA","KABUPATEN TAPANULI TENGAH"
"kec1204032","SARUDIK","KABUPATEN TAPANULI TENGAH"
"kec1204040","TAPIAN NAULI","KABUPATEN TAPANULI TENGAH"
"kec1204041","SITAHUIS","KABUPATEN TAPANULI TENGAH"
"kec1204050","KOLANG","KABUPATEN TAPANULI TENGAH"
"kec1204060","SORKAM","KABUPATEN TAPANULI TENGAH"
"kec1204061","SORKAM BARAT","KABUPATEN TAPANULI TENGAH"
"kec1204062","PASARIBU TOBING","KABUPATEN TAPANULI TENGAH"
"kec1204070","BARUS","KABUPATEN TAPANULI TENGAH"
"kec1204071","SOSOR GADONG","KABUPATEN TAPANULI TENGAH"
"kec1204072","ANDAM DEWI","KABUPATEN TAPANULI TENGAH"
"kec1204073","BARUS UTARA","KABUPATEN TAPANULI TENGAH"
"kec1204080","MANDUAMAS","KABUPATEN TAPANULI TENGAH"
"kec1204081","SIRANDORUNG","KABUPATEN TAPANULI TENGAH"
"kec1205030","PARMONANGAN","KABUPATEN TAPANULI UTARA"
"kec1205040","ADIANKOTING","KABUPATEN TAPANULI UTARA"
"kec1205050","SIPOHOLON","KABUPATEN TAPANULI UTARA"
"kec1205060","TARUTUNG","KABUPATEN TAPANULI UTARA"
"kec1205061","SIATAS BARITA","KABUPATEN TAPANULI UTARA"
"kec1205070","PAHAE JULU","KABUPATEN TAPANULI UTARA"
"kec1205080","PAHAE JAE","KABUPATEN TAPANULI UTARA"
"kec1205081","PURBATUA","KABUPATEN TAPANULI UTARA"
"kec1205082","SIMANGUMBAN","KABUPATEN TAPANULI UTARA"
"kec1205090","PANGARIBUAN","KABUPATEN TAPANULI UTARA"
"kec1205100","GAROGA","KABUPATEN TAPANULI UTARA"
"kec1205110","SIPAHUTAR","KABUPATEN TAPANULI UTARA"
"kec1205120","SIBORONGBORONG","KABUPATEN TAPANULI UTARA"
"kec1205130","PAGARAN","KABUPATEN TAPANULI UTARA"
"kec1205180","MUARA","KABUPATEN TAPANULI UTARA"
"kec1206030","BALIGE","KABUPATEN TOBA SAMOSIR"
"kec1206031","TAMPAHAN","KABUPATEN TOBA SAMOSIR"
"kec1206040","LAGUBOTI","KABUPATEN TOBA SAMOSIR"
"kec1206050","HABINSARAN","KABUPATEN TOBA SAMOSIR"
"kec1206051","BORBOR","KABUPATEN TOBA SAMOSIR"
"kec1206052","NASSAU","KABUPATEN TOBA SAMOSIR"
"kec1206060","SILAEN","KABUPATEN TOBA SAMOSIR"
"kec1206061","SIGUMPAR","KABUPATEN TOBA SAMOSIR"
"kec1206070","PORSEA","KABUPATEN TOBA SAMOSIR"
"kec1206071","PINTU POHAN MERANTI","KABUPATEN TOBA SAMOSIR"
"kec1206072","SIANTAR NARUMONDA","KABUPATEN TOBA SAMOSIR"
"kec1206073","PARMAKSIAN","KABUPATEN TOBA SAMOSIR"
"kec1206080","LUMBAN JULU","KABUPATEN TOBA SAMOSIR"
"kec1206081","ULUAN","KABUPATEN TOBA SAMOSIR"
"kec1206082","AJIBATA","KABUPATEN TOBA SAMOSIR"
"kec1206083","BONATUA LUNASI","KABUPATEN TOBA SAMOSIR"
"kec1207050","BILAH HULU","KABUPATEN LABUHAN BATU"
"kec1207070","PANGKATAN","KABUPATEN LABUHAN BATU"
"kec1207080","BILAH BARAT","KABUPATEN LABUHAN BATU"
"kec1207130","BILAH HILIR","KABUPATEN LABUHAN BATU"
"kec1207140","PANAI HULU","KABUPATEN LABUHAN BATU"
"kec1207150","PANAI TENGAH","KABUPATEN LABUHAN BATU"
"kec1207160","PANAI HILIR","KABUPATEN LABUHAN BATU"
"kec1207210","RANTAU SELATAN","KABUPATEN LABUHAN BATU"
"kec1207220","RANTAU UTARA","KABUPATEN LABUHAN BATU"
"kec1208010","BANDAR PASIR MANDOGE","KABUPATEN ASAHAN"
"kec1208020","BANDAR PULAU","KABUPATEN ASAHAN"
"kec1208021","AEK SONGSONGAN","KABUPATEN ASAHAN"
"kec1208022","RAHUNING","KABUPATEN ASAHAN"
"kec1208030","PULAU RAKYAT","KABUPATEN ASAHAN"
"kec1208031","AEK KUASAN","KABUPATEN ASAHAN"
"kec1208032","AEK LEDONG","KABUPATEN ASAHAN"
"kec1208040","SEI KEPAYANG","KABUPATEN ASAHAN"
"kec1208041","SEI KEPAYANG BARAT","KABUPATEN ASAHAN"
"kec1208042","SEI KEPAYANG TIMUR","KABUPATEN ASAHAN"
"kec1208050","TANJUNG BALAI","KABUPATEN ASAHAN"
"kec1208060","SIMPANG EMPAT","KABUPATEN ASAHAN"
"kec1208061","TELUK DALAM","KABUPATEN ASAHAN"
"kec1208070","AIR BATU","KABUPATEN ASAHAN"
"kec1208071","SEI DADAP","KABUPATEN ASAHAN"
"kec1208080","BUNTU PANE","KABUPATEN ASAHAN"
"kec1208081","TINGGI RAJA","KABUPATEN ASAHAN"
"kec1208082","SETIA JANJI","KABUPATEN ASAHAN"
"kec1208090","MERANTI","KABUPATEN ASAHAN"
