"id","name","kecamatan_id"
"kel1102043009","DANAU BUNGARA","KOTA BAHARU"
"kel1102043010","SELAKAR UDANG","KOTA BAHARU"
"kel1103010001","KUTA PADANG","TRUMON"
"kel1103010002","RAKET","TRUMON"
"kel1103010003","GAMPONG TENGAH","TRUMON"
"kel1103010004","TEPIN TINGGI","TRUMON"
"kel1103010005","IE MEUDAMA","TRUMON"
"kel1103010009","UJONG TAN0H","TRUMON"
"kel1103010010","KEUDE TRUMON","TRUMON"
"kel1103010011","KUTA BARU","TRUMON"
"kel1103010012","SINGLENG","TRUMON"
"kel1103010013","PANTON BILI","TRUMON"
"kel1103010027","UPT II PD HARAPAN","TRUMON"
"kel1103010030","SEUNABOK JAYA (EX UPT V)","TRUMON"
"kel1103011001","TITI POBEN","TRUMON TIMUR"
"kel1103011002","ALUR BUJOK","TRUMON TIMUR"
"kel1103011003","SEUNEUBOK PUNTHO","TRUMON TIMUR"
"kel1103011008","PINTO RIMBA","TRUMON TIMUR"
"kel1103011009","KRUNG LUAS","TRUMON TIMUR"
"kel1103011010","JAMBO DALEM","TRUMON TIMUR"
"kel1103011011","KAPAI SEUSAK","TRUMON TIMUR"
"kel1103011012","UPT I SNB PUSAKA","TRUMON TIMUR"
"kel1103012001","LHOK RAYA","TRUMON TENGAH"
"kel1103012002","IE JEUREUNEH","TRUMON TENGAH"
"kel1103012003","NACA","TRUMON TENGAH"
"kel1103012004","COT BAYU","TRUMON TENGAH"
"kel1103012005","JAMBO PAPEUN","TRUMON TENGAH"
"kel1103012006","LADANG RIMBA","TRUMON TENGAH"
"kel1103012007","PULO PAYA","TRUMON TENGAH"
"kel1103012008","KRUENG BATEE","TRUMON TENGAH"
"kel1103012009","KAMPONG TEUNGOH","TRUMON TENGAH"
"kel1103012010","GUNONG KAPHO","TRUMON TENGAH"
"kel1103020001","UJUNG MANGKI","BAKONGAN"
"kel1103020002","KEUDE BAKONGAN","BAKONGAN"
"kel1103020003","KAMPUNG BARU","BAKONGAN"
"kel1103020014","UJUNG PADANG","BAKONGAN"
"kel1103020015","KMP DRIEN","BAKONGAN"
"kel1103020023","DAHRUL IHSAN","BAKONGAN"
"kel1103020024","PADANG BEURAHAN","BAKONGAN"
"kel1103021002","UJUNG PULO CUT","BAKONGAN TIMUR"
"kel1103021003","UJUNG PULO RAYEUK","BAKONGAN TIMUR"
"kel1103021004","PASI SEUBADEH","BAKONGAN TIMUR"
"kel1103021005","LADANG RIMBA","BAKONGAN TIMUR"
"kel1103021006","SIMPANG","BAKONGAN TIMUR"
"kel1103021007","SAWAH TINGKEUM","BAKONGAN TIMUR"
"kel1103021008","SEULEUKAT","BAKONGAN TIMUR"
"kel1103022001","SENEUBOK ALUR BULAH","KOTA BAHAGIA"
"kel1103022002","ALURDUAMAS","KOTA BAHAGIA"
"kel1103022003","JAMBO KEUPOK","KOTA BAHAGIA"
"kel1103022004","UJUNG TANOH","KOTA BAHAGIA"
"kel1103022005","BEUTONG","KOTA BAHAGIA"
"kel1103022006","UJUNG GUNONG RAYEK","KOTA BAHAGIA"
"kel1103022007","UJUNG GUNUNG CUT","KOTA BAHAGIA"
"kel1103022008","RAMBONG","KOTA BAHAGIA"
"kel1103022009","SEUNEUBOK KEURANJI","KOTA BAHAGIA"
"kel1103022010","BUKIT GADING","KOTA BAHAGIA"
"kel1103030001","PASI LEMBANG","KLUET SELATAN"
"kel1103030002","UJUNG PADANG","KLUET SELATAN"
"kel1103030003","INDRA DAMAI","KLUET SELATAN"
"kel1103030004","SUAQ BAKONG","KLUET SELATAN"
"kel1103030005","BARAT DAYA","KLUET SELATAN"
"kel1103030006","SIALANG","KLUET SELATAN"
"kel1103030007","KAPEH","KLUET SELATAN"
"kel1103030008","PULO IE","KLUET SELATAN"
"kel1103030009","JUA","KLUET SELATAN"
"kel1103030010","PASI MERAPAT","KLUET SELATAN"
"kel1103030011","UJUNG","KLUET SELATAN"
"kel1103030012","LUAR","KLUET SELATAN"
"kel1103030013","KEDAI KANDANG","KLUET SELATAN"
"kel1103030014","RANTAU BINUANG","KLUET SELATAN"
"kel1103030015","UJUNG PASIR","KLUET SELATAN"
"kel1103030016","GELUMBUK","KLUET SELATAN"
"kel1103030017","KEDAI RUNDING","KLUET SELATAN"
"kel1103031001","SAPIK","KLUET TIMUR"
"kel1103031002","DURIAN KAWAN","KLUET TIMUR"
"kel1103031003","ALAI","KLUET TIMUR"
"kel1103031004","PAYA DAPUR","KLUET TIMUR"
"kel1103031005","PUCUK LEMBANG","KLUET TIMUR"
"kel1103031006","LAWE BULUH DIDI","KLUET TIMUR"
"kel1103031007","LAWE SAWAH","KLUET TIMUR"
"kel1103031008","PAYA LABA","KLUET TIMUR"
"kel1103031009","LAWE CIMANOK","KLUET TIMUR"
"kel1103040001","KEDAI PADANG","KLUET UTARA"
"kel1103040002","PASI KUALA BAU","KLUET UTARA"
"kel1103040003","SUAQ GERINGGENG","KLUET UTARA"
"kel1103040004","SIMPANG LHEE","KLUET UTARA"
"kel1103040005","SIMPANG EMPAT","KLUET UTARA"
"kel1103040006","JAMBO MANYANG","KLUET UTARA"
"kel1103040007","LIMAU PURUT","KLUET UTARA"
"kel1103040008","PULO KAMBING","KLUET UTARA"
"kel1103040009","KAMPUNG PAYA","KLUET UTARA"
"kel1103040010","KRUENG BATU","KLUET UTARA"
"kel1103040011","GUNONG PULO","KLUET UTARA"
"kel1103040012","PULO IE I","KLUET UTARA"
"kel1103040013","KRUENG BATEE","KLUET UTARA"
"kel1103040014","PASI KUALA ASAHAN","KLUET UTARA"
"kel1103040015","FAJAR HARAPAN","KLUET UTARA"
"kel1103040036","KRUENG KLUET","KLUET UTARA"
"kel1103040039","ALUR MAS","KLUET UTARA"
"kel1103040050","KAMPUNG TINGGI","KLUET UTARA"
"kel1103040051","KAMPUNG RUAK","KLUET UTARA"
"kel1103040052","KOTA FAJAR","KLUET UTARA"
"kel1103040053","GUNUNG PUDUNG","KLUET UTARA"
"kel1103041001","UJUNG PADANG ASAHAN","PASIE RAJA"
"kel1103041002","PULO IE II","PASIE RAJA"
"kel1103041003","IE MIRAH","PASIE RAJA"
"kel1103041004","UJUNG PADANG RASIAN","PASIE RAJA"
"kel1103041005","PASI RASIAN","PASIE RAJA"
"kel1103041006","TEUPIN GAJAH","PASIE RAJA"
"kel1103041007","KAMPUNG BARO","PASIE RAJA"
"kel1103041008","KRUENG KELEE","PASIE RAJA"
"kel1103041009","LHOK SIALANG RAYEUK","PASIE RAJA"
"kel1103041010","LHOK SIALANG CUT","PASIE RAJA"
"kel1103041011","PAYATEUK","PASIE RAJA"
"kel1103041012","SILOLO","PASIE RAJA"
"kel1103041013","KAMPUNG BARU","PASIE RAJA"
"kel1103041014","SI NEUBOK","PASIE RAJA"
"kel1103041015","LADANG TUHA","PASIE RAJA"
"kel1103041016","PANTON BILI","PASIE RAJA"
"kel1103041017","LADANG TEUNGOH","PASIE RAJA"
"kel1103041018","PUCUK KRUENG","PASIE RAJA"
"kel1103041019","MATA IE","PASIE RAJA"
"kel1103041020","UJUNG BATU","PASIE RAJA"
"kel1103041021","PANTE RAJA","PASIE RAJA"
"kel1103042001","JAMBO PAPAN","KLUET TENGAH"
"kel1103042002","KOTO INDARUNG","KLUET TENGAH"
"kel1103042003","SIURAI URAI","KLUET TENGAH"
"kel1103042004","MALAKA","KLUET TENGAH"
"kel1103042005","LAWE MELANG","KLUET TENGAH"
"kel1103042006","KOTO","KLUET TENGAH"
"kel1103042007","KAMPUNG SAWAH","KLUET TENGAH"
"kel1103042008","KAMPUNG PADANG","KLUET TENGAH"
"kel1103042009","PULO AIR","KLUET TENGAH"
"kel1103042010","MERSAK","KLUET TENGAH"
"kel1103042011","SIMPANG DUA","KLUET TENGAH"
"kel1103042012","SIMPANG TIGA","KLUET TENGAH"
"kel1103042013","ALUR KEJRUN","KLUET TENGAH"
"kel1103050001","GUNUNG KERAMBIL","TAPAK TUAN"
"kel1103050002","AIR BERUDANG","TAPAK TUAN"
"kel1103050003","LHOK KETAPANG","TAPAK TUAN"
"kel1103050004","HILIR","TAPAK TUAN"
"kel1103050005","PASAR","TAPAK TUAN"
"kel1103050006","PADANG","TAPAK TUAN"
"kel1103050007","TEPI AIR","TAPAK TUAN"
"kel1103050008","HULU","TAPAK TUAN"
"kel1103050009","JAMBO APHA","TAPAK TUAN"
"kel1103050010","LHOK BENGKUANG","TAPAK TUAN"
"kel1103050011","BATU ITAM","TAPAK TUAN"
"kel1103050012","PANJUPIAN","TAPAK TUAN"
"kel1103050013","LHOK RUKAM","TAPAK TUAN"
"kel1103050014","AIR PINANG","TAPAK TUAN"
"kel1103050015","PANTON LUAS","TAPAK TUAN"
"kel1103050016","LHOK BENGKUANG TIMUR","TAPAK TUAN"
"kel1103060001","UJUNG TANAH","SAMA DUA"
"kel1103060002","PAYONAN GADANG","SAMA DUA"
"kel1103060003","LUBUK LAYU","SAMA DUA"
"kel1103060004","SUAQ HULU","SAMA DUA"
"kel1103060005","LUAR","SAMA DUA"
"kel1103060006","UJUNG KAMPUNG","SAMA DUA"
"kel1103060007","TAMPANG","SAMA DUA"
"kel1103060008","JILATANG","SAMA DUA"
"kel1103060009","AIR SIALANG HULU","SAMA DUA"
"kel1103060010","AIR SIALANG TENGAH","SAMA DUA"
"kel1103060011","AIR SIALANG HILIR","SAMA DUA"
"kel1103060012","SUBARANG","SAMA DUA"
"kel1103060013","GUNUNG KETEK","SAMA DUA"
"kel1103060014","KOTA BARU","SAMA DUA"
"kel1103060015","MADAT","SAMA DUA"
"kel1103060016","DALAM","SAMA DUA"
"kel1103060017","TENGAH","SAMA DUA"
"kel1103060018","BALAI","SAMA DUA"
"kel1103060019","BARU","SAMA DUA"
"kel1103060020","GADANG","SAMA DUA"
"kel1103060021","LADANG KASIK PUTIH","SAMA DUA"
"kel1103060022","LADANG PANTON LUAS","SAMA DUA"
"kel1103060023","ALUR SIMERAH","SAMA DUA"
"kel1103060024","ALUR PINANG","SAMA DUA"
"kel1103060025","GUNUNG CUT","SAMA DUA"
"kel1103060026","KUTA BLANG","SAMA DUA"
"kel1103060027","BATEE TUNGGAI","SAMA DUA"
"kel1103060028","ARAFAH","SAMA DUA"
"kel1103070001","SAWANG BAU","SAWANG"
"kel1103070002","UJUNG PADANG","SAWANG"
"kel1103070003","KUTA BARO","SAWANG"
"kel1103070004","SIMPANG III","SAWANG"
"kel1103070005","BLANG GELINGGANG","SAWANG"
"kel1103070006","MEULIGO","SAWANG"
"kel1103070007","SAWANG I","SAWANG"
"kel1103070008","SAWANG II","SAWANG"
"kel1103070009","UJUNG KARANG","SAWANG"
"kel1103070010","LHOK PAWOH","SAWANG"
"kel1103070011","PANTON LUAS","SAWANG"
"kel1103070012","TRIENG MEUDURO TUNONG","SAWANG"
"kel1103070013","TRIENG MEUDURO BAROH","SAWANG"
"kel1103070014","SIKULAT","SAWANG"
"kel1103070015","MUTIARA","SAWANG"
"kel1103080001","ALUE MEUTUAH","MEUKEK"
"kel1103080002","LHOK AMAN","MEUKEK"
"kel1103080003","LADANG BARO","MEUKEK"
"kel1103080004","LABUHAN TAROK","MEUKEK"
"kel1103080005","TANJUNG HARAPAN","MEUKEK"
"kel1103080006","KUTA BARO","MEUKEK"
"kel1103080007","KEUDE MEUKEK","MEUKEK"
"kel1103080008","ARON TUNGGAI","MEUKEK"
"kel1103080009","BLANG BLADEH","MEUKEK"
"kel1103080010","BLANG TEUNGOH","MEUKEK"
"kel1103080011","IE BUBOH","MEUKEK"
"kel1103080012","KUTA BULOH II","MEUKEK"
"kel1103080013","KUTA BULOH I","MEUKEK"
"kel1103080014","IE DINGEN","MEUKEK"
"kel1103080015","DRIEN JALO","MEUKEK"
"kel1103080016","JAMBO PAPEUN","MEUKEK"
"kel1103080017","BUKET MEUH","MEUKEK"
"kel1103080018","ALUE BARO","MEUKEK"
"kel1103080019","ROT TEUNGOH","MEUKEK"
"kel1103080020","BLANG KUALA","MEUKEK"
"kel1103080021","LADANG TUHA","MEUKEK"
"kel1103080022","LHOK MAMPLAM","MEUKEK"
"kel1103080023","LABUHAN TAROK II","MEUKEK"
"kel1103090010","PADANG BARU","LABUHAN HAJI"
"kel1103090011","LEMBAH BARU","LABUHAN HAJI"
"kel1103090012","TENGAH BARU","LABUHAN HAJI"
"kel1103090013","PAWOH","LABUHAN HAJI"
"kel1103090014","APHA","LABUHAN HAJI"
"kel1103090015","PASAR LAMA","LABUHAN HAJI"
"kel1103090016","PADANG BAKAU","LABUHAN HAJI"
"kel1103090028","BAKAU HULU","LABUHAN HAJI"
"kel1103090029","MANGGIS HARAPAN","LABUHAN HAJI"
"kel1103090030","UJUNG BATU","LABUHAN HAJI"
"kel1103090031","DALAM","LABUHAN HAJI"
"kel1103090032","KOTA PALAK","LABUHAN HAJI"
"kel1103090033","CACANG","LABUHAN HAJI"
"kel1103090034","TENGAH PISANG","LABUHAN HAJI"
"kel1103090035","PISANG","LABUHAN HAJI"
"kel1103090036","HULU PISANG","LABUHAN HAJI"
"kel1103091001","KEUMUMU HILIR","LABUHAN HAJI TIMUR"
"kel1103091002","PAYA PEULUMAT","LABUHAN HAJI TIMUR"
"kel1103091003","TENGAH PEULUMAT","LABUHAN HAJI TIMUR"
"kel1103091004","PADANG PEULUMAT","LABUHAN HAJI TIMUR"
"kel1103091005","LIMAU SARING","LABUHAN HAJI TIMUR"
"kel1103091006","AUR PEULUMAT","LABUHAN HAJI TIMUR"
