"id","name","state_id"
"kotakab1271","KOTA SIBOLGA","Sumatra Utara"
"kotakab1272","KOTA TANJUNG BALAI","Sumatra Utara"
"kotakab1273","KOTA PEMATANG SIANTAR","Sumatra Utara"
"kotakab1274","KOTA TEBING TINGGI","Sumatra Utara"
"kotakab1275","KOTA MEDAN","Sumatra Utara"
"kotakab1276","KOTA BINJAI","Sumatra Utara"
"kotakab1277","KOTA PADANGSIDIMPUAN","Sumatra Utara"
"kotakab1278","KOTA GUNUNGSITOLI","Sumatra Utara"
"kotakab1301","KABUPATEN KEPULAUAN MENTAWAI","Sumatra Barat"
"kotakab1302","KABUPATEN PESISIR SELATAN","Sumatra Barat"
"kotakab1303","KABUPATEN SOLOK","Sumatra Barat"
"kotakab1304","KABUPATEN SIJUNJUNG","Sumatra Barat"
"kotakab1305","KABUPATEN TANAH DATAR","Sumatra Barat"
"kotakab1306","KABUPATEN PADANG PARIAMAN","Sumatra Barat"
"kotakab1307","KABUPATEN AGAM","Sumatra Barat"
"kotakab1308","KABUPATEN LIMA PULUH KOTA","Sumatra Barat"
"kotakab1309","KABUPATEN PASAMAN","Sumatra Barat"
"kotakab1310","KABUPATEN SOLOK SELATAN","Sumatra Barat"
"kotakab1311","KABUPATEN DHARMASRAYA","Sumatra Barat"
"kotakab1312","KABUPATEN PASAMAN BARAT","Sumatra Barat"
"kotakab1371","KOTA PADANG","Sumatra Barat"
"kotakab1372","KOTA SOLOK","Sumatra Barat"
"kotakab1373","KOTA SAWAH LUNTO","Sumatra Barat"
"kotakab1374","KOTA PADANG PANJANG","Sumatra Barat"
"kotakab1375","KOTA BUKITTINGGI","Sumatra Barat"
"kotakab1376","KOTA PAYAKUMBUH","Sumatra Barat"
"kotakab1377","KOTA PARIAMAN","Sumatra Barat"
"kotakab1401","KABUPATEN KUANTAN SINGINGI","Riau"
"kotakab1402","KABUPATEN INDRAGIRI HULU","Riau"
"kotakab1403","KABUPATEN INDRAGIRI HILIR","Riau"
"kotakab1404","KABUPATEN PELALAWAN","Riau"
"kotakab1405","KABUPATEN S I A K","Riau"
"kotakab1406","KABUPATEN KAMPAR","Riau"
"kotakab1407","KABUPATEN ROKAN HULU","Riau"
"kotakab1408","KABUPATEN BENGKALIS","Riau"
"kotakab1409","KABUPATEN ROKAN HILIR","Riau"
"kotakab1410","KABUPATEN KEPULAUAN MERANTI","Riau"
"kotakab1471","KOTA PEKANBARU","Riau"
"kotakab1473","KOTA D U M A I","Riau"
"kotakab1501","KABUPATEN KERINCI","Jambi"
"kotakab1502","KABUPATEN MERANGIN","Jambi"
"kotakab1503","KABUPATEN SAROLANGUN","Jambi"
"kotakab1504","KABUPATEN BATANG HARI","Jambi"
"kotakab1505","KABUPATEN MUARO JAMBI","Jambi"
"kotakab1506","KABUPATEN TANJUNG JABUNG TIMUR","Jambi"
"kotakab1507","KABUPATEN TANJUNG JABUNG BARAT","Jambi"
"kotakab1508","KABUPATEN TEBO","Jambi"
"kotakab1509","KABUPATEN BUNGO","Jambi"
"kotakab1571","KOTA JAMBI","Jambi"
"kotakab1572","KOTA SUNGAI PENUH","Jambi"
"kotakab1601","KABUPATEN OGAN KOMERING ULU","Sumatra Selatan"
"kotakab1602","KABUPATEN OGAN KOMERING ILIR","Sumatra Selatan"
"kotakab1603","KABUPATEN MUARA ENIM","Sumatra Selatan"
"kotakab1604","KABUPATEN LAHAT","Sumatra Selatan"
"kotakab1605","KABUPATEN MUSI RAWAS","Sumatra Selatan"
"kotakab1606","KABUPATEN MUSI BANYUASIN","Sumatra Selatan"
"kotakab1607","KABUPATEN BANYU ASIN","Sumatra Selatan"
"kotakab1608","KABUPATEN OGAN KOMERING ULU SELATAN","Sumatra Selatan"
"kotakab1609","KABUPATEN OGAN KOMERING ULU TIMUR","Sumatra Selatan"
"kotakab1610","KABUPATEN OGAN ILIR","Sumatra Selatan"
"kotakab1611","KABUPATEN EMPAT LAWANG","Sumatra Selatan"
"kotakab1612","KABUPATEN PENUKAL ABAB LEMATANG ILIR","Sumatra Selatan"
"kotakab1613","KABUPATEN MUSI RAWAS UTARA","Sumatra Selatan"
"kotakab1671","KOTA PALEMBANG","Sumatra Selatan"
"kotakab1672","KOTA PRABUMULIH","Sumatra Selatan"
"kotakab1673","KOTA PAGAR ALAM","Sumatra Selatan"
"kotakab1674","KOTA LUBUKLINGGAU","Sumatra Selatan"
"kotakab1701","KABUPATEN BENGKULU SELATAN","Bengkulu"
"kotakab1702","KABUPATEN REJANG LEBONG","Bengkulu"
"kotakab1703","KABUPATEN BENGKULU UTARA","Bengkulu"
"kotakab1704","KABUPATEN KAUR","Bengkulu"
"kotakab1705","KABUPATEN SELUMA","Bengkulu"
"kotakab1706","KABUPATEN MUKOMUKO","Bengkulu"
"kotakab1707","KABUPATEN LEBONG","Bengkulu"
"kotakab1708","KABUPATEN KEPAHIANG","Bengkulu"
"kotakab1709","KABUPATEN BENGKULU TENGAH","Bengkulu"
"kotakab1771","KOTA BENGKULU","Bengkulu"
"kotakab1801","KABUPATEN LAMPUNG BARAT","Lampung"
"kotakab1802","KABUPATEN TANGGAMUS","Lampung"
"kotakab1803","KABUPATEN LAMPUNG SELATAN","Lampung"
"kotakab1804","KABUPATEN LAMPUNG TIMUR","Lampung"
"kotakab1805","KABUPATEN LAMPUNG TENGAH","Lampung"
"kotakab1806","KABUPATEN LAMPUNG UTARA","Lampung"
"kotakab1807","KABUPATEN WAY KANAN","Lampung"
"kotakab1808","KABUPATEN TULANGBAWANG","Lampung"
"kotakab1809","KABUPATEN PESAWARAN","Lampung"
"kotakab1810","KABUPATEN PRINGSEWU","Lampung"
"kotakab1811","KABUPATEN MESUJI","Lampung"
"kotakab1812","KABUPATEN TULANG BAWANG BARAT","Lampung"
"kotakab1813","KABUPATEN PESISIR BARAT","Lampung"
"kotakab1871","KOTA BANDAR LAMPUNG","Lampung"
"kotakab1872","KOTA METRO","Lampung"
"kotakab1901","KABUPATEN BANGKA","Bangka Belitung"
"kotakab1902","KABUPATEN BELITUNG","Bangka Belitung"
"kotakab1903","KABUPATEN BANGKA BARAT","Bangka Belitung"
"kotakab1904","KABUPATEN BANGKA TENGAH","Bangka Belitung"
"kotakab1905","KABUPATEN BANGKA SELATAN","Bangka Belitung"
"kotakab1906","KABUPATEN BELITUNG TIMUR","Bangka Belitung"
"kotakab1971","KOTA PANGKAL PINANG","Bangka Belitung"
"kotakab2101","KABUPATEN KARIMUN","Kepulauan Riau"
"kotakab2102","KABUPATEN BINTAN","Kepulauan Riau"
"kotakab2103","KABUPATEN NATUNA","Kepulauan Riau"
"kotakab2104","KABUPATEN LINGGA","Kepulauan Riau"
"kotakab2105","KABUPATEN KEPULAUAN ANAMBAS","Kepulauan Riau"
"kotakab2171","KOTA B A T A M","Kepulauan Riau"
"kotakab2172","KOTA TANJUNG PINANG","Kepulauan Riau"
"kotakab3101","KABUPATEN KEPULAUAN SERIBU","Jakarta"
"kotakab3171","KOTA JAKARTA SELATAN","Jakarta"
"kotakab3172","KOTA JAKARTA TIMUR","Jakarta"
"kotakab3173","KOTA JAKARTA PUSAT","Jakarta"
"kotakab3174","KOTA JAKARTA BARAT","Jakarta"
"kotakab3175","KOTA JAKARTA UTARA","Jakarta"
"kotakab3201","KABUPATEN BOGOR","Jawa Barat"
"kotakab3202","KABUPATEN SUKABUMI","Jawa Barat"
"kotakab3203","KABUPATEN CIANJUR","Jawa Barat"
"kotakab3204","KABUPATEN BANDUNG","Jawa Barat"
"kotakab3205","KABUPATEN GARUT","Jawa Barat"
"kotakab3206","KABUPATEN TASIKMALAYA","Jawa Barat"
"kotakab3207","KABUPATEN CIAMIS","Jawa Barat"
"kotakab3208","KABUPATEN KUNINGAN","Jawa Barat"
"kotakab3209","KABUPATEN CIREBON","Jawa Barat"
"kotakab3210","KABUPATEN MAJALENGKA","Jawa Barat"
"kotakab3211","KABUPATEN SUMEDANG","Jawa Barat"
"kotakab3212","KABUPATEN INDRAMAYU","Jawa Barat"
"kotakab3213","KABUPATEN SUBANG","Jawa Barat"
"kotakab3214","KABUPATEN PURWAKARTA","Jawa Barat"
"kotakab3215","KABUPATEN KARAWANG","Jawa Barat"
"kotakab3216","KABUPATEN BEKASI","Jawa Barat"
"kotakab3217","KABUPATEN BANDUNG BARAT","Jawa Barat"
"kotakab3218","KABUPATEN PANGANDARAN","Jawa Barat"
"kotakab3271","KOTA BOGOR","Jawa Barat"
"kotakab3272","KOTA SUKABUMI","Jawa Barat"
"kotakab3273","KOTA BANDUNG","Jawa Barat"
"kotakab3274","KOTA CIREBON","Jawa Barat"
"kotakab3275","KOTA BEKASI","Jawa Barat"
"kotakab3276","KOTA DEPOK","Jawa Barat"
"kotakab3277","KOTA CIMAHI","Jawa Barat"
"kotakab3278","KOTA TASIKMALAYA","Jawa Barat"
"kotakab3279","KOTA BANJAR","Jawa Barat"
"kotakab3301","KABUPATEN CILACAP","Jawa Tengah"
"kotakab3302","KABUPATEN BANYUMAS","Jawa Tengah"
"kotakab3303","KABUPATEN PURBALINGGA","Jawa Tengah"
"kotakab3304","KABUPATEN BANJARNEGARA","Jawa Tengah"
"kotakab3305","KABUPATEN KEBUMEN","Jawa Tengah"
"kotakab3306","KABUPATEN PURWOREJO","Jawa Tengah"
"kotakab3307","KABUPATEN WONOSOBO","Jawa Tengah"
"kotakab3308","KABUPATEN MAGELANG","Jawa Tengah"
"kotakab3309","KABUPATEN BOYOLALI","Jawa Tengah"
"kotakab3310","KABUPATEN KLATEN","Jawa Tengah"
"kotakab3311","KABUPATEN SUKOHARJO","Jawa Tengah"
"kotakab3312","KABUPATEN WONOGIRI","Jawa Tengah"
"kotakab3313","KABUPATEN KARANGANYAR","Jawa Tengah"
"kotakab3314","KABUPATEN SRAGEN","Jawa Tengah"
"kotakab3315","KABUPATEN GROBOGAN","Jawa Tengah"
"kotakab3316","KABUPATEN BLORA","Jawa Tengah"
"kotakab3317","KABUPATEN REMBANG","Jawa Tengah"
"kotakab3318","KABUPATEN PATI","Jawa Tengah"
"kotakab3319","KABUPATEN KUDUS","Jawa Tengah"
"kotakab3320","KABUPATEN JEPARA","Jawa Tengah"
"kotakab3321","KABUPATEN DEMAK","Jawa Tengah"
"kotakab3322","KABUPATEN SEMARANG","Jawa Tengah"
"kotakab3323","KABUPATEN TEMANGGUNG","Jawa Tengah"
"kotakab3324","KABUPATEN KENDAL","Jawa Tengah"
"kotakab3325","KABUPATEN BATANG","Jawa Tengah"
"kotakab3326","KABUPATEN PEKALONGAN","Jawa Tengah"
"kotakab3327","KABUPATEN PEMALANG","Jawa Tengah"
"kotakab3328","KABUPATEN TEGAL","Jawa Tengah"
"kotakab3329","KABUPATEN BREBES","Jawa Tengah"
"kotakab3371","KOTA MAGELANG","Jawa Tengah"
"kotakab3372","KOTA SURAKARTA","Jawa Tengah"
"kotakab3373","KOTA SALATIGA","Jawa Tengah"
"kotakab3374","KOTA SEMARANG","Jawa Tengah"
"kotakab3375","KOTA PEKALONGAN","Jawa Tengah"
"kotakab3376","KOTA TEGAL","Jawa Tengah"
"kotakab3401","KABUPATEN KULON PROGO","Yogyakarta"
"kotakab3402","KABUPATEN BANTUL","Yogyakarta"
"kotakab3403","KABUPATEN GUNUNG KIDUL","Yogyakarta"
"kotakab3404","KABUPATEN SLEMAN","Yogyakarta"
"kotakab3471","KOTA YOGYAKARTA","Yogyakarta"
"kotakab3501","KABUPATEN PACITAN","Jawa Timur"
"kotakab3502","KABUPATEN PONOROGO","Jawa Timur"
"kotakab3503","KABUPATEN TRENGGALEK","Jawa Timur"
"kotakab3504","KABUPATEN TULUNGAGUNG","Jawa Timur"
"kotakab3505","KABUPATEN BLITAR","Jawa Timur"
"kotakab3506","KABUPATEN KEDIRI","Jawa Timur"
"kotakab3507","KABUPATEN MALANG","Jawa Timur"
"kotakab3508","KABUPATEN LUMAJANG","Jawa Timur"
"kotakab3509","KABUPATEN JEMBER","Jawa Timur"
"kotakab3510","KABUPATEN BANYUWANGI","Jawa Timur"
"kotakab3511","KABUPATEN BONDOWOSO","Jawa Timur"
"kotakab3512","KABUPATEN SITUBONDO","Jawa Timur"
"kotakab3513","KABUPATEN PROBOLINGGO","Jawa Timur"
"kotakab3514","KABUPATEN PASURUAN","Jawa Timur"
"kotakab3515","KABUPATEN SIDOARJO","Jawa Timur"
"kotakab3516","KABUPATEN MOJOKERTO","Jawa Timur"
"kotakab3517","KABUPATEN JOMBANG","Jawa Timur"
"kotakab3518","KABUPATEN NGANJUK","Jawa Timur"
"kotakab3519","KABUPATEN MADIUN","Jawa Timur"
"kotakab3520","KABUPATEN MAGETAN","Jawa Timur"
"kotakab3521","KABUPATEN NGAWI","Jawa Timur"
"kotakab3522","KABUPATEN BOJONEGORO","Jawa Timur"
"kotakab3523","KABUPATEN TUBAN","Jawa Timur"
"kotakab3524","KABUPATEN LAMONGAN","Jawa Timur"
"kotakab3525","KABUPATEN GRESIK","Jawa Timur"
"kotakab3526","KABUPATEN BANGKALAN","Jawa Timur"
"kotakab3527","KABUPATEN SAMPANG","Jawa Timur"
"kotakab3528","KABUPATEN PAMEKASAN","Jawa Timur"
"kotakab3529","KABUPATEN SUMENEP","Jawa Timur"
"kotakab3571","KOTA KEDIRI","Jawa Timur"
"kotakab3572","KOTA BLITAR","Jawa Timur"
"kotakab3573","KOTA MALANG","Jawa Timur"
"kotakab3574","KOTA PROBOLINGGO","Jawa Timur"
"kotakab3575","KOTA PASURUAN","Jawa Timur"
"kotakab3576","KOTA MOJOKERTO","Jawa Timur"
"kotakab3577","KOTA MADIUN","Jawa Timur"
"kotakab3578","KOTA SURABAYA","Jawa Timur"
"kotakab3579","KOTA BATU","Jawa Timur"
"kotakab3601","KABUPATEN PANDEGLANG","Banten"
"kotakab3602","KABUPATEN LEBAK","Banten"
"kotakab3603","KABUPATEN TANGERANG","Banten"
"kotakab3604","KABUPATEN SERANG","Banten"
"kotakab3671","KOTA TANGERANG","Banten"
"kotakab3672","KOTA CILEGON","Banten"
"kotakab3673","KOTA SERANG","Banten"
"kotakab3674","KOTA TANGERANG SELATAN","Banten"
"kotakab5101","KABUPATEN JEMBRANA","Bali"
"kotakab5102","KABUPATEN TABANAN","Bali"
"kotakab5103","KABUPATEN BADUNG","Bali"
"kotakab5104","KABUPATEN GIANYAR","Bali"
"kotakab5105","KABUPATEN KLUNGKUNG","Bali"
"kotakab5106","KABUPATEN BANGLI","Bali"
"kotakab5107","KABUPATEN KARANG ASEM","Bali"
"kotakab5108","KABUPATEN BULELENG","Bali"
"kotakab5171","KOTA DENPASAR","Bali"
"kotakab5201","KABUPATEN LOMBOK BARAT","Nusa Tenggara Barat"
"kotakab5202","KABUPATEN LOMBOK TENGAH","Nusa Tenggara Barat"
"kotakab5203","KABUPATEN LOMBOK TIMUR","Nusa Tenggara Barat"
"kotakab5204","KABUPATEN SUMBAWA","Nusa Tenggara Barat"
"kotakab5205","KABUPATEN DOMPU","Nusa Tenggara Barat"
"kotakab5206","KABUPATEN BIMA","Nusa Tenggara Barat"
"kotakab5207","KABUPATEN SUMBAWA BARAT","Nusa Tenggara Barat"
"kotakab5208","KABUPATEN LOMBOK UTARA","Nusa Tenggara Barat"
"kotakab5271","KOTA MATARAM","Nusa Tenggara Barat"
"kotakab5272","KOTA BIMA","Nusa Tenggara Barat"
"kotakab5301","KABUPATEN SUMBA BARAT","Nusa Tenggara Timur"
"kotakab5302","KABUPATEN SUMBA TIMUR","Nusa Tenggara Timur"
"kotakab5303","KABUPATEN KUPANG","Nusa Tenggara Timur"
"kotakab5304","KABUPATEN TIMOR TENGAH SELATAN","Nusa Tenggara Timur"
"kotakab5305","KABUPATEN TIMOR TENGAH UTARA","Nusa Tenggara Timur"
"kotakab5306","KABUPATEN BELU","Nusa Tenggara Timur"
"kotakab5307","KABUPATEN ALOR","Nusa Tenggara Timur"
"kotakab5308","KABUPATEN LEMBATA","Nusa Tenggara Timur"
"kotakab5309","KABUPATEN FLORES TIMUR","Nusa Tenggara Timur"
"kotakab5310","KABUPATEN SIKKA","Nusa Tenggara Timur"
"kotakab5311","KABUPATEN ENDE","Nusa Tenggara Timur"
"kotakab5312","KABUPATEN NGADA","Nusa Tenggara Timur"
"kotakab5313","KABUPATEN MANGGARAI","Nusa Tenggara Timur"
"kotakab5314","KABUPATEN ROTE NDAO","Nusa Tenggara Timur"
"kotakab5315","KABUPATEN MANGGARAI BARAT","Nusa Tenggara Timur"
"kotakab5316","KABUPATEN SUMBA TENGAH","Nusa Tenggara Timur"
"kotakab5317","KABUPATEN SUMBA BARAT DAYA","Nusa Tenggara Timur"
"kotakab5318","KABUPATEN NAGEKEO","Nusa Tenggara Timur"
"kotakab5319","KABUPATEN MANGGARAI TIMUR","Nusa Tenggara Timur"
"kotakab5320","KABUPATEN SABU RAIJUA","Nusa Tenggara Timur"
"kotakab5321","KABUPATEN MALAKA","Nusa Tenggara Timur"
"kotakab5371","KOTA KUPANG","Nusa Tenggara Timur"
"kotakab6101","KABUPATEN SAMBAS","Kalimantan Barat"
"kotakab6102","KABUPATEN BENGKAYANG","Kalimantan Barat"
"kotakab6103","KABUPATEN LANDAK","Kalimantan Barat"
"kotakab6104","KABUPATEN MEMPAWAH","Kalimantan Barat"
"kotakab6105","KABUPATEN SANGGAU","Kalimantan Barat"
"kotakab6106","KABUPATEN KETAPANG","Kalimantan Barat"
"kotakab6107","KABUPATEN SINTANG","Kalimantan Barat"
"kotakab6108","KABUPATEN KAPUAS HULU","Kalimantan Barat"
"kotakab6109","KABUPATEN SEKADAU","Kalimantan Barat"
"kotakab6110","KABUPATEN MELAWI","Kalimantan Barat"
"kotakab6111","KABUPATEN KAYONG UTARA","Kalimantan Barat"
"kotakab6112","KABUPATEN KUBU RAYA","Kalimantan Barat"
"kotakab6171","KOTA PONTIANAK","Kalimantan Barat"
"kotakab6172","KOTA SINGKAWANG","Kalimantan Barat"
"kotakab6201","KABUPATEN KOTAWARINGIN BARAT","Kalimantan Tengah"
"kotakab6202","KABUPATEN KOTAWARINGIN TIMUR","Kalimantan Tengah"
"kotakab6203","KABUPATEN KAPUAS","Kalimantan Tengah"
"kotakab6204","KABUPATEN BARITO SELATAN","Kalimantan Tengah"
"kotakab6205","KABUPATEN BARITO UTARA","Kalimantan Tengah"
"kotakab6206","KABUPATEN SUKAMARA","Kalimantan Tengah"
"kotakab6207","KABUPATEN LAMANDAU","Kalimantan Tengah"
"kotakab6208","KABUPATEN SERUYAN","Kalimantan Tengah"
"kotakab6209","KABUPATEN KATINGAN","Kalimantan Tengah"
"kotakab6210","KABUPATEN PULANG PISAU","Kalimantan Tengah"
"kotakab6211","KABUPATEN GUNUNG MAS","Kalimantan Tengah"
"kotakab6212","KABUPATEN BARITO TIMUR","Kalimantan Tengah"
"kotakab6213","KABUPATEN MURUNG RAYA","Kalimantan Tengah"
"kotakab6271","KOTA PALANGKA RAYA","Kalimantan Tengah"
"kotakab6301","KABUPATEN TANAH LAUT","Kalimantan Selatan"
"kotakab6302","KABUPATEN KOTA BARU","Kalimantan Selatan"
"kotakab6303","KABUPATEN BANJAR","Kalimantan Selatan"
"kotakab6304","KABUPATEN BARITO KUALA","Kalimantan Selatan"
"kotakab6305","KABUPATEN TAPIN","Kalimantan Selatan"
"kotakab6306","KABUPATEN HULU SUNGAI SELATAN","Kalimantan Selatan"
"kotakab6307","KABUPATEN HULU SUNGAI TENGAH","Kalimantan Selatan"
"kotakab6308","KABUPATEN HULU SUNGAI UTARA","Kalimantan Selatan"
"kotakab6309","KABUPATEN TABALONG","Kalimantan Selatan"
"kotakab6310","KABUPATEN TANAH BUMBU","Kalimantan Selatan"
"kotakab6311","KABUPATEN BALANGAN","Kalimantan Selatan"
"kotakab6371","KOTA BANJARMASIN","Kalimantan Selatan"
"kotakab6372","KOTA BANJAR BARU","Kalimantan Selatan"
"kotakab6401","KABUPATEN PASER","Kalimantan Timur"
"kotakab6402","KABUPATEN KUTAI BARAT","Kalimantan Timur"
"kotakab6403","KABUPATEN KUTAI KARTANEGARA","Kalimantan Timur"
"kotakab6404","KABUPATEN KUTAI TIMUR","Kalimantan Timur"
"kotakab6405","KABUPATEN BERAU","Kalimantan Timur"
"kotakab6409","KABUPATEN PENAJAM PASER UTARA","Kalimantan Timur"
"kotakab6411","KABUPATEN MAHAKAM HULU","Kalimantan Timur"
"kotakab6471","KOTA BALIKPAPAN","Kalimantan Timur"
"kotakab6472","KOTA SAMARINDA","Kalimantan Timur"
"kotakab6474","KOTA BONTANG","Kalimantan Timur"
"kotakab6501","KABUPATEN MALINAU","Kalimantan Utara"
"kotakab6502","KABUPATEN BULUNGAN","Kalimantan Utara"
"kotakab6503","KABUPATEN TANA TIDUNG","Kalimantan Utara"
"kotakab6504","KABUPATEN NUNUKAN","Kalimantan Utara"
"kotakab6571","KOTA TARAKAN","Kalimantan Utara"
"kotakab7101","KABUPATEN BOLAANG MONGONDOW","Sulawesi Utara"
"kotakab7102","KABUPATEN MINAHASA","Sulawesi Utara"
"kotakab7103","KABUPATEN KEPULAUAN SANGIHE","Sulawesi Utara"
"kotakab7104","KABUPATEN KEPULAUAN TALAUD","Sulawesi Utara"
"kotakab7105","KABUPATEN MINAHASA SELATAN","Sulawesi Utara"
"kotakab7106","KABUPATEN MINAHASA UTARA","Sulawesi Utara"
"kotakab7107","KABUPATEN BOLAANG MONGONDOW UTARA","Sulawesi Utara"
"kotakab7108","KABUPATEN SIAU TAGULANDANG BIARO","Sulawesi Utara"
"kotakab7109","KABUPATEN MINAHASA TENGGARA","Sulawesi Utara"
"kotakab7110","KABUPATEN BOLAANG MONGONDOW SELATAN","Sulawesi Utara"
"kotakab7111","KABUPATEN BOLAANG MONGONDOW TIMUR","Sulawesi Utara"
"kotakab7171","KOTA MANADO","Sulawesi Utara"
"kotakab7172","KOTA BITUNG","Sulawesi Utara"
"kotakab7173","KOTA TOMOHON","Sulawesi Utara"
"kotakab7174","KOTA KOTAMOBAGU","Sulawesi Utara"
"kotakab7201","KABUPATEN BANGGAI KEPULAUAN","Sulawesi Tengah"
"kotakab7202","KABUPATEN BANGGAI","Sulawesi Tengah"
"kotakab7203","KABUPATEN MOROWALI","Sulawesi Tengah"
"kotakab7204","KABUPATEN POSO","Sulawesi Tengah"
"kotakab7205","KABUPATEN DONGGALA","Sulawesi Tengah"
"kotakab7206","KABUPATEN TOLI-TOLI","Sulawesi Tengah"
"kotakab7207","KABUPATEN BUOL","Sulawesi Tengah"
"kotakab7208","KABUPATEN PARIGI MOUTONG","Sulawesi Tengah"
"kotakab7209","KABUPATEN TOJO UNA-UNA","Sulawesi Tengah"
"kotakab7210","KABUPATEN SIGI","Sulawesi Tengah"
"kotakab7211","KABUPATEN BANGGAI LAUT","Sulawesi Tengah"
"kotakab7212","KABUPATEN MOROWALI UTARA","Sulawesi Tengah"
"kotakab7271","KOTA PALU","Sulawesi Tengah"
"kotakab7301","KABUPATEN KEPULAUAN SELAYAR","Sulawesi Selatan"
"kotakab7302","KABUPATEN BULUKUMBA","Sulawesi Selatan"
"kotakab7303","KABUPATEN BANTAENG","Sulawesi Selatan"
"kotakab7304","KABUPATEN JENEPONTO","Sulawesi Selatan"
"kotakab7305","KABUPATEN TAKALAR","Sulawesi Selatan"
"kotakab7306","KABUPATEN GOWA","Sulawesi Selatan"
"kotakab7307","KABUPATEN SINJAI","Sulawesi Selatan"
"kotakab7308","KABUPATEN MAROS","Sulawesi Selatan"
"kotakab7309","KABUPATEN PANGKAJENE DAN KEPULAUAN","Sulawesi Selatan"
"kotakab7310","KABUPATEN BARRU","Sulawesi Selatan"
"kotakab7311","KABUPATEN BONE","Sulawesi Selatan"
"kotakab7312","KABUPATEN SOPPENG","Sulawesi Selatan"
"kotakab7313","KABUPATEN WAJO","Sulawesi Selatan"
"kotakab7314","KABUPATEN SIDENRENG RAPPANG","Sulawesi Selatan"
"kotakab7315","KABUPATEN PINRANG","Sulawesi Selatan"
"kotakab7316","KABUPATEN ENREKANG","Sulawesi Selatan"
"kotakab7317","KABUPATEN LUWU","Sulawesi Selatan"
"kotakab7318","KABUPATEN TANA TORAJA","Sulawesi Selatan"
"kotakab7322","KABUPATEN LUWU UTARA","Sulawesi Selatan"
"kotakab7325","KABUPATEN LUWU TIMUR","Sulawesi Selatan"
"kotakab7326","KABUPATEN TORAJA UTARA","Sulawesi Selatan"
"kotakab7371","KOTA MAKASSAR","Sulawesi Selatan"
"kotakab7372","KOTA PAREPARE","Sulawesi Selatan"
"kotakab7373","KOTA PALOPO","Sulawesi Selatan"
"kotakab7401","KABUPATEN BUTON","Sulawesi Tenggara"
